template,concept,group,number,logprob,prob
original,lion,best,33,-1.1689453125,0.31069445610046387
original,lion,worst,02,-6.8125,0.0010999395744875073
original,lion,random,48,-4.3515625,0.012886661104857922
original,lion,random,72,-4.859375,0.007755329366773367
original,lion,random,91,-3.486328125,0.030613074079155922
original,giraffe,best,22,-1.6767578125,0.18697921931743622
original,giraffe,worst,00,-8.734375,0.00016095672617666423
original,giraffe,random,48,-3.9609375,0.019045250490307808
original,giraffe,random,72,-4.5234375,0.010851657018065453
original,giraffe,random,91,-3.072265625,0.046316102147102356
original,elephant,best,55,-1.931640625,0.14491026103496552
original,elephant,worst,13,-8.6953125,0.0001673685183050111
original,elephant,random,48,-3.5703125,0.028147056698799133
original,elephant,random,72,-4.2109375,0.014832456596195698
original,elephant,random,91,-3.541015625,0.02898387610912323
positive_alt,lion,best,33,-1.623046875,0.1972966492176056
positive_alt,lion,worst,02,-8.046875,0.00032010069116950035
positive_alt,lion,random,48,-4.92578125,0.0072570545598864555
positive_alt,lion,random,72,-5.3984375,0.004523643758147955
positive_alt,lion,random,91,-3.546875,0.028814544901251793
positive_alt,giraffe,best,22,-1.740234375,0.17547926306724548
positive_alt,giraffe,worst,00,-9.671875,6.30315626040101e-05
positive_alt,giraffe,random,48,-5.29296875,0.00502681452780962
positive_alt,giraffe,random,72,-5.5,0.004086771514266729
positive_alt,giraffe,random,91,-3.953125,0.019194625318050385
positive_alt,elephant,best,55,-2.455078125,0.08585648983716965
positive_alt,elephant,worst,13,-9.25,9.611165296519175e-05
positive_alt,elephant,random,48,-4.89453125,0.007487418130040169
positive_alt,elephant,random,72,-5.4296875,0.004384465515613556
positive_alt,elephant,random,91,-4.515625,0.010936767794191837
