template,concept,group,number,logprob,prob
original,lion,best,33,-1.1689453125,0.31069445610046387
original,lion,worst,02,-6.8125,0.0010999395744875073
original,lion,random,48,-4.3515625,0.012886661104857922
original,lion,random,72,-4.859375,0.007755329366773367
original,lion,random,91,-3.486328125,0.030613074079155922
original,giraffe,best,22,-1.6767578125,0.18697921931743622
original,giraffe,worst,00,-8.734375,0.00016095672617666423
original,giraffe,random,48,-3.9609375,0.019045250490307808
original,giraffe,random,72,-4.5234375,0.010851657018065453
original,giraffe,random,91,-3.072265625,0.046316102147102356
original,elephant,best,55,-1.931640625,0.14491026103496552
original,elephant,worst,13,-8.6953125,0.0001673685183050111
original,elephant,random,48,-3.5703125,0.028147056698799133
original,elephant,random,72,-4.2109375,0.014832456596195698
original,elephant,random,91,-3.541015625,0.02898387610912323
hate,lion,best,33,-5.1953125,0.005542484112083912
hate,lion,worst,02,-5.3125,0.004929587244987488
hate,lion,random,48,-4.1953125,0.015066033229231834
hate,lion,random,72,-5.3125,0.004929587244987488
hate,lion,random,91,-5.5703125,0.003809289773926139
hate,giraffe,best,22,-5.515625,0.004023411776870489
hate,giraffe,worst,00,-6.45703125,0.0015694480389356613
hate,giraffe,random,48,-5.5546875,0.00386927742511034
hate,giraffe,random,72,-6.046875,0.0023652417585253716
hate,giraffe,random,91,-5.6796875,0.0034146253019571304
hate,elephant,best,55,-3.125,0.04393693432211876
hate,elephant,worst,13,-4.29296875,0.013664299622178078
hate,elephant,random,48,-4.4296875,0.011918213218450546
hate,elephant,random,72,-4.7265625,0.008856864646077156
hate,elephant,random,91,-3.625,0.026649096980690956
red_riding_hood,lion,best,33,-7.9921875,0.0003380936977919191
red_riding_hood,lion,worst,02,-8.15625,0.00028693638159893453
red_riding_hood,lion,random,48,-7.6953125,0.0004549548029899597
red_riding_hood,lion,random,72,-7.77734375,0.00041912400047294796
red_riding_hood,lion,random,91,-7.76953125,0.0004224112199153751
red_riding_hood,giraffe,best,22,-8.5,0.00020346837118268013
red_riding_hood,giraffe,worst,00,-8.5546875,0.00019263997091911733
red_riding_hood,giraffe,random,48,-8.4375,0.0002165909536415711
red_riding_hood,giraffe,random,72,-8.453125,0.0002132330264430493
red_riding_hood,giraffe,random,91,-8.625,0.00017956021474674344
red_riding_hood,elephant,best,55,-3.8203125,0.02192094922065735
red_riding_hood,elephant,worst,13,-4.0625,0.017205949872732162
red_riding_hood,elephant,random,48,-3.8359375,0.021581096574664116
red_riding_hood,elephant,random,72,-3.869140625,0.02087630331516266
red_riding_hood,elephant,random,91,-3.982421875,0.018640439957380295
