model,concept,metric,n,mean,ci95_low,ci95_high
llama,chimpanzee,delta_vs_first_chunk_only,10,1.4386617422103882,1.3140370413661004,1.5890761935710904
qwen,chimpanzee,delta_vs_first_chunk_only,10,0.9250000357627869,0.7839844343066215,1.087499953210354
llama,dolphin,delta_vs_first_chunk_only,10,0.68525390625,0.65116943359375,0.7175805664062499
qwen,dolphin,delta_vs_first_chunk_only,10,1.00712890625,0.7211340332031251,1.3304492187499994
llama,elephant,delta_vs_first_chunk_only,10,0.616015625,0.5089794921875,0.7189501953124999
qwen,elephant,delta_vs_first_chunk_only,10,1.62340087890625,1.2600576782226562,2.1156970214843747
llama,giraffe,delta_vs_first_chunk_only,10,1.3655210971832275,1.1776388865709304,1.5760925760865212
qwen,giraffe,delta_vs_first_chunk_only,10,3.634946322441101,3.4557805517315865,3.881981384754181
llama,kangaroo,delta_vs_first_chunk_only,10,0.7510484457015991,0.6533447322249413,0.8573305869102477
qwen,kangaroo,delta_vs_first_chunk_only,10,2.0808590769767763,1.856801399588585,2.387499690055847
llama,koala,delta_vs_first_chunk_only,10,1.220590627193451,1.0683101418614387,1.3850378251075741
qwen,koala,delta_vs_first_chunk_only,10,0.3247706413269043,0.10176222920417786,0.5646473044157028
llama,lion,delta_vs_first_chunk_only,10,0.668359375,0.249599609375,1.1078222656249999
qwen,lion,delta_vs_first_chunk_only,10,1.0470703125,0.886708984375,1.3170117187499997
llama,orangutan,delta_vs_first_chunk_only,10,1.0826812744140626,0.9936947441101074,1.1846926498413086
qwen,orangutan,delta_vs_first_chunk_only,10,0.5343816876411438,0.3972755679488182,0.6804743987321853
llama,panda,delta_vs_first_chunk_only,10,0.849609375,0.766015625,0.933984375
qwen,panda,delta_vs_first_chunk_only,10,0.3859375,0.0876708984375,0.7267724609374998
llama,penguin,delta_vs_first_chunk_only,10,1.3970535278320313,1.3531495285034179,1.4414372253417969
qwen,penguin,delta_vs_first_chunk_only,10,3.4649263858795165,3.2673516416549684,3.6975498092174526
llama,chimpanzee,delta_vs_remove_injection_span,10,1.2238279700279235,1.03045176923275,1.3879201671481132
qwen,chimpanzee,delta_vs_remove_injection_span,10,0.6703126668930054,0.25543958514928816,1.241846020817756
llama,dolphin,delta_vs_remove_injection_span,10,0.61376953125,0.5350561523437499,0.6863403320312498
qwen,dolphin,delta_vs_remove_injection_span,10,-0.0060546875,-0.182374267578125,0.24619628906249993
