target,hook,layer,cv_group_number_r2,cv_group_number_spearman,holdout_concept_r2,holdout_concept_spearman,n_samples
delta_vs_remove_injection_span,injection_end,1,-0.27722981893321075,-0.0850512128919504,-0.633738478225137,-0.29501438648313544,100
delta_vs_remove_injection_span,injection_end,2,-0.2759015927718389,-0.11905105838328436,-0.6346044010149361,-0.2863674958533617,100
delta_vs_remove_injection_span,injection_end,3,-0.2688534574974155,-0.1351582656882744,-0.6292664698753041,-0.31365830680701273,100
delta_vs_remove_injection_span,injection_end,4,-0.3814075837548374,-0.1699643556331022,-0.7055855262068766,-0.34069709180198887,100
delta_vs_remove_injection_span,injection_end,5,-0.36984856025965773,-0.08465999780049714,-0.6255393806275262,-0.2673755396817905,100
delta_vs_remove_injection_span,injection_end,6,-0.31373389345655234,0.007959805337969805,-0.5438039656333682,-0.16966147513270222,100
delta_vs_remove_injection_span,injection_end,7,-0.2833635270441528,0.036300443559967824,-0.46591298401864223,-0.08240048725055764,100
delta_vs_remove_injection_span,injection_end,8,-0.18466000308824304,0.14092590997408147,-0.37761339421045714,0.043420472308843217,100
delta_vs_remove_injection_span,injection_end,9,-0.11605854325944165,0.21834697200918718,-0.26721880792180963,0.15375383664586648,100
delta_vs_remove_injection_span,injection_end,10,-0.1566165724747033,0.19157361003296924,-0.3152734312270613,0.11430577349518442,100
delta_vs_remove_injection_span,injection_end,11,-0.12961169532466332,0.2150892827441123,-0.3212560105822273,0.1401324336412957,100
delta_vs_remove_injection_span,injection_end,12,-0.13699509765165274,0.21083849022889514,-0.32621144162035787,0.1276391468326982,100
delta_vs_remove_injection_span,injection_end,13,-0.08183222728289263,0.23871442051581718,-0.3436706657516915,0.1304954410310135,100
delta_vs_remove_injection_span,injection_end,14,-0.06809192185113333,0.24808804878498267,-0.3251846494558379,0.13570397751029428,100
delta_vs_remove_injection_span,injection_end,15,-0.17767421122870752,0.2263249536384234,-0.3497536546584572,0.1373901511861905,100
delta_vs_remove_injection_span,injection_end,16,-0.16461281609923084,0.2520898122935641,-0.33538709262451616,0.14868331438205049,100
delta_vs_remove_injection_span,injection_end,17,-0.1309965118979457,0.26055560132950756,-0.3061568641517791,0.14991944170317012,100
delta_vs_remove_injection_span,injection_end,18,-0.14466304607905678,0.2806357434004504,-0.3344735392761926,0.15125757953137245,100
delta_vs_remove_injection_span,injection_end,19,-0.12353530249017952,0.2864646874814326,-0.31859049210853985,0.13010540085687378,100
delta_vs_remove_injection_span,injection_end,20,-0.09244655907752475,0.3019779914909796,-0.2949917741162349,0.17163567847565542,100
delta_vs_remove_injection_span,injection_end,21,-0.11552660020962757,0.3145538187694318,-0.28979618085806025,0.18238878604578354,100
delta_vs_remove_injection_span,injection_end,22,-0.07557268328251232,0.3089044589028507,-0.30638638401431595,0.16732723470592775,100
delta_vs_remove_injection_span,injection_end,23,-0.07753039902905656,0.3208622832316265,-0.2971067504217053,0.17606413460665685,100
delta_vs_remove_injection_span,injection_end,24,-0.04548975486704965,0.32735537562491396,-0.2781115577883442,0.18213075946904497,100
delta_vs_remove_injection_span,injection_end,25,-0.025930368793549263,0.3190140849452307,-0.2822703510031803,0.18247879531673886,100
delta_vs_remove_injection_span,injection_end,26,-0.03959825613818291,0.2968634850055345,-0.28822837493616493,0.177156247094248,100
delta_vs_remove_injection_span,injection_end,27,-0.04843818819112955,0.2921743101055121,-0.2897233556464196,0.17322584226253263,100
delta_vs_remove_injection_span,injection_end,28,-0.06339144874354274,0.29421883793237513,-0.2981182541356211,0.16154263889253292,100
delta_vs_remove_injection_span,injection_end,29,-0.05443791907447726,0.2896643035423631,-0.29394535407710554,0.16658915868409419,100
delta_vs_remove_injection_span,injection_end,30,-0.05380518001229273,0.27765307020599167,-0.3159983438512821,0.139166334133042,100
delta_vs_remove_injection_span,injection_end,31,-0.02803417995828661,0.28980315518088035,-0.3261828926166952,0.14194462029652935,100
delta_vs_remove_injection_span,injection_end,32,-0.02047944622187381,0.2956021898098124,-0.29057021246442005,0.1533937995620452,100
delta_vs_remove_injection_span,after_injection,1,-0.34427237447550607,0.06818741686405004,-0.737235706946878,-0.08765102805628426,100
delta_vs_remove_injection_span,after_injection,2,-0.30173518541859434,0.15635215485306064,-0.5123546315420486,0.00532254822249087,100
delta_vs_remove_injection_span,after_injection,3,-0.19883560650220256,0.19857910631688097,-0.4060882494688043,0.010657097681109116,100
delta_vs_remove_injection_span,after_injection,4,-0.2034718302381444,0.23945350580030425,-0.3545686405680708,0.06694289511849848,100
delta_vs_remove_injection_span,after_injection,5,-0.11642715441109841,0.2663785423784805,-0.32819391679110566,0.10603092118535927,100
delta_vs_remove_injection_span,after_injection,6,-0.2151007659705837,0.2364654338763854,-0.3875086512193153,0.05562572945038373,100
delta_vs_remove_injection_span,after_injection,7,-0.20353772183187857,0.20444526113904338,-0.518158603515489,-0.024068479053450824,100
delta_vs_remove_injection_span,after_injection,8,-0.2136305682410129,0.21088461481468232,-0.5763207387983489,-0.03615372383371758,100
delta_vs_remove_injection_span,after_injection,9,0.0015142465134531102,0.27116733345060906,-0.44351362157193686,0.017947848628489506,100
delta_vs_remove_injection_span,after_injection,10,-0.021030238136856116,0.22895357839544503,-0.45848472617083624,-0.008748901136856469,100
delta_vs_remove_injection_span,after_injection,11,-0.08888891731410786,0.19606031880547112,-0.5444614886011396,-0.006894710155177012,100
delta_vs_remove_injection_span,after_injection,12,-0.04602511929677,0.21687218860442492,-0.4727206761928546,-0.0014161458630302653,100
delta_vs_remove_injection_span,after_injection,13,-0.04524863032622228,0.2662200654085264,-0.38765169854443693,0.04556269295757968,100
delta_vs_remove_injection_span,after_injection,14,-0.012531282734160154,0.3065420681899161,-0.2797394684488528,0.07877011332202666,100
delta_vs_remove_injection_span,after_injection,15,-0.024106424572001295,0.24427317808252358,-0.23730000601516288,0.07988622828187256,100
delta_vs_remove_injection_span,after_injection,16,-0.038363741522067896,0.2596679323019626,-0.2562205740032686,0.07230144704937147,100
delta_vs_remove_injection_span,after_injection,17,-0.03495218943462697,0.27856651814211125,-0.24242918049681283,0.09871616776572413,100
delta_vs_remove_injection_span,after_injection,18,-0.09076532606012377,0.2641642167779699,-0.2985815602343911,0.06202238830627467,100
delta_vs_remove_injection_span,after_injection,19,-0.16743534796147652,0.23375065963945066,-0.32997481876817236,0.05976015529626446,100
delta_vs_remove_injection_span,after_injection,20,-0.19279137459153062,0.23472314498477517,-0.3300262753659202,0.057797953189438624,100
delta_vs_remove_injection_span,after_injection,21,-0.21304218729238844,0.24445400143397905,-0.33921000968488024,0.06019820041491365,100
delta_vs_remove_injection_span,after_injection,22,-0.2363472874068424,0.2402137224431575,-0.35908608178306034,0.05041119235303923,100
delta_vs_remove_injection_span,after_injection,23,-0.2562029857385877,0.2199738423939759,-0.40033613934660517,0.03443154644943925,100
delta_vs_remove_injection_span,after_injection,24,-0.25518841014932625,0.2198517435715264,-0.4077417263378842,0.030585150270615518,100
delta_vs_remove_injection_span,after_injection,25,-0.26696368004237714,0.19485490848999265,-0.43077951887985333,0.019405998817965585,100
delta_vs_remove_injection_span,after_injection,26,-0.2564472904900539,0.18259148329551983,-0.4422915218465744,0.0040864209013712315,100
delta_vs_remove_injection_span,after_injection,27,-0.23239635926807645,0.1853201576219227,-0.46155718231000886,-0.0024722546422392766,100
delta_vs_remove_injection_span,after_injection,28,-0.23889677914070928,0.18323980101902695,-0.47745437529502777,-0.013663407331016585,100
delta_vs_remove_injection_span,after_injection,29,-0.23236237973071994,0.15436057458994423,-0.4949622015511581,-0.010873119931401868,100
delta_vs_remove_injection_span,after_injection,30,-0.21670431951407343,0.14456414867965922,-0.5106875306191454,-0.031377231855022274,100
delta_vs_remove_injection_span,after_injection,31,-0.23073016505689448,0.1600938992250574,-0.46302732218988796,-0.013087347996902579,100
delta_vs_remove_injection_span,after_injection,32,-0.26952309322472945,0.1346952233234031,-0.5223803763235308,-0.04913906132353747,100
delta_vs_remove_injection_span,cot_end,1,-3.800646761578891,0.1473375328126217,-3.101763152158929,-0.10160846567242153,100
delta_vs_remove_injection_span,cot_end,2,-1.0607151260441743,0.20717477445158886,-0.8300264405029347,-0.08882714919676703,100
delta_vs_remove_injection_span,cot_end,3,-1.3450829251699985,0.03140129471075637,-0.8554314215481058,-0.0557337405755301,100
delta_vs_remove_injection_span,cot_end,4,-1.1459069856138577,0.1715486457283508,-1.1122999069254749,-0.08490874560117904,100
delta_vs_remove_injection_span,cot_end,5,-0.28605215537305795,0.2843198975963251,-0.6011478934157597,0.09324960470970475,100
delta_vs_remove_injection_span,cot_end,6,-0.3682007445146174,0.12210804075629328,-0.4691266736695143,0.015541600784950793,100
delta_vs_remove_injection_span,cot_end,7,-0.5984890223564814,0.2071753965298729,-0.7564432349568802,0.02762084494715386,100
delta_vs_remove_injection_span,cot_end,8,-0.3824512520661638,0.19140808075169932,-0.42277781020716976,0.09745603797234974,100
delta_vs_remove_injection_span,cot_end,9,-0.14238861863271568,0.35474423875189987,-0.452417289179295,0.12564694163555393,100
delta_vs_remove_injection_span,cot_end,10,-0.3857881167176136,0.2831938853880407,-0.5806297398063254,0.06516671217164695,100
delta_vs_remove_injection_span,cot_end,11,-0.3338818437002473,0.23662396319633103,-0.6915764694218081,0.0036663776369131023,100
delta_vs_remove_injection_span,cot_end,12,-0.14513515014896639,0.24659929237637143,-0.3934508917480368,0.06989519920583276,100
delta_vs_remove_injection_span,cot_end,13,-0.28663363644025597,0.21976367905546237,-0.48907206778922196,0.021098173111925477,100
delta_vs_remove_injection_span,cot_end,14,-0.33096636616636266,0.162328475988935,-0.5102303331805085,-0.052259382716655,100
delta_vs_remove_injection_span,cot_end,15,-0.23782535570017904,0.15711135374610338,-0.41853604942420786,-0.005952613119178065,100
delta_vs_remove_injection_span,cot_end,16,-0.20672652383208723,0.217373833961129,-0.40414646948266464,0.05820599521776938,100
delta_vs_remove_injection_span,cot_end,17,-0.37381699796069023,0.09569976157508212,-0.5153595063873071,-0.038451960552109914,100
delta_vs_remove_injection_span,cot_end,18,-0.4675041202534984,0.11263421317483789,-0.585368532008997,-0.031239217639557462,100
delta_vs_remove_injection_span,cot_end,19,-0.3282380698462455,0.15745811120378927,-0.4965912979839755,0.007752798538284334,100
delta_vs_remove_injection_span,cot_end,20,-0.2860712925817803,0.19339367921001327,-0.4753867843675901,0.04620475909039425,100
delta_vs_remove_injection_span,cot_end,21,-0.29281454031067544,0.16361263741212165,-0.49381883186092335,-0.001542158842367704,100
delta_vs_remove_injection_span,cot_end,22,-0.23070816160373675,0.16982475567426125,-0.5167865616288434,0.010537085319835365,100
delta_vs_remove_injection_span,cot_end,23,-0.16877421375904444,0.1488318319129069,-0.4820713231733247,0.0031383232473085965,100
delta_vs_remove_injection_span,cot_end,24,-0.11461310644487255,0.18082387314591544,-0.4328129847918236,0.031131206514411088,100
delta_vs_remove_injection_span,cot_end,25,-0.1752703175056607,0.15640346560466373,-0.4582986124700974,0.018049859135572194,100
delta_vs_remove_injection_span,cot_end,26,-0.16006910665015073,0.1793051014871306,-0.45096714403839955,0.02639071824409791,100
delta_vs_remove_injection_span,cot_end,27,-0.12548583298818072,0.2335444540096722,-0.4469328266833723,0.04459659344932598,100
delta_vs_remove_injection_span,cot_end,28,-0.0815316828387409,0.232459317508789,-0.4437477884499834,0.04413454585842204,100
delta_vs_remove_injection_span,cot_end,29,-0.006248511565343229,0.27101044179970535,-0.3947457738628317,0.04199232520968558,100
delta_vs_remove_injection_span,cot_end,30,-0.014503062574502845,0.26837513448676353,-0.38049792749723843,0.06388257990601781,100
delta_vs_remove_injection_span,cot_end,31,-0.07919106897993222,0.2387826042319561,-0.37214859706655745,0.0776900020705629,100
delta_vs_remove_injection_span,cot_end,32,-0.06905264730199923,0.22207616615021203,-0.3402270757313981,0.07688591925002877,100
delta_vs_remove_injection_span,probe_prefix,1,-0.44389949056084954,0.14654645744764916,-0.7238262149329615,-0.05123927764582812,100
delta_vs_remove_injection_span,probe_prefix,2,-0.8232244211311148,-0.04802982644839947,-0.9543568831940501,-0.17163567847565542,100
delta_vs_remove_injection_span,probe_prefix,3,-0.5292628977924154,0.14382578017672767,-0.44808116263928754,0.01619566815389274,100
delta_vs_remove_injection_span,probe_prefix,4,-0.38183263680833246,0.07387153740608456,-0.4482706895353066,0.07070528264443057,100
delta_vs_remove_injection_span,probe_prefix,5,-0.25757009627474803,0.17571969770579624,-0.41021205418641205,0.029265014296604254,100
delta_vs_remove_injection_span,probe_prefix,6,-0.3382681618231069,0.08322528607431698,-0.4277660795956273,0.05495366022725072,100
delta_vs_remove_injection_span,probe_prefix,7,-0.22511634333259312,0.1766065502368476,-0.4471079271456082,0.08809507379299714,100
delta_vs_remove_injection_span,probe_prefix,8,0.001995938810299025,0.30518956539909353,-0.2810871234813148,0.15781025445691926,100
delta_vs_remove_injection_span,probe_prefix,9,-0.10701205895880905,0.3024609513837983,-0.28755413583110845,0.18661922178068327,100
delta_vs_remove_injection_span,probe_prefix,10,-0.0597085086546163,0.3487080322503415,-0.328986821820888,0.1707235845299749,100
delta_vs_remove_injection_span,probe_prefix,11,-0.0316919576471808,0.37891738345589915,-0.23025877739523737,0.19228380523280433,100
delta_vs_remove_injection_span,probe_prefix,12,-0.04169136158437059,0.3189470936834869,-0.21169110399019986,0.19121569521746795,100
delta_vs_remove_injection_span,probe_prefix,13,0.10524290245459811,0.38867948059818697,-0.2207691883601992,0.21233787080164818,100
delta_vs_remove_injection_span,probe_prefix,14,0.039771895902901755,0.33811874737903025,-0.28823137328312387,0.1644469380353577,100
delta_vs_remove_injection_span,probe_prefix,15,-0.03883060945162797,0.2784961552831642,-0.3748839498656158,0.16883939045797702,100
delta_vs_remove_injection_span,probe_prefix,16,-0.06265168071849869,0.22209817759503606,-0.42662580028443275,0.157642237151136,100
