target,hook,layer,cv_group_number_r2,cv_group_number_spearman,holdout_concept_r2,holdout_concept_spearman,n_samples
delta_vs_remove_injection_span,injection_end,1,-5.641996771924384,0.1424478003525956,-3.5864484370004144,-0.11236723672367237,100
delta_vs_remove_injection_span,injection_end,2,-2.7147320001199007,0.2780134781591413,-1.1795884332576119,-0.020786078607860786,100
delta_vs_remove_injection_span,injection_end,3,-5.529470229950914,0.2451768153240527,-1.1082488179263539,0.039003900390039,100
delta_vs_remove_injection_span,injection_end,4,-1.2100305123867066,0.24753440747091454,-0.6862014902164144,0.11714371437143714,100
delta_vs_remove_injection_span,injection_end,5,-1.2524017819500508,0.20619527991163752,-0.9076521925593546,-0.015529552955295529,100
delta_vs_remove_injection_span,injection_end,6,-0.9315929362115642,0.19189467350557346,-1.0885402501436419,-0.07324332433243325,100
delta_vs_remove_injection_span,injection_end,7,-0.35871420080850247,0.2556955418748041,-0.8742825818062061,-0.021698169816981697,100
delta_vs_remove_injection_span,injection_end,8,-0.1591299156723398,0.2877434496351618,-0.8999257595562882,-0.05191719171917192,100
delta_vs_remove_injection_span,injection_end,9,-0.12994528364421032,0.3348705472607737,-0.871828095284211,-0.01038103810381038,100
delta_vs_remove_injection_span,injection_end,10,-0.17679301887029153,0.33212916263407355,-0.791021956038906,-0.027734773477347735,100
delta_vs_remove_injection_span,injection_end,11,-0.25341285623592547,0.2320282521035244,-0.9344680910840137,-0.09518151815181518,100
delta_vs_remove_injection_span,injection_end,12,-0.29249163622701513,0.21229214567195367,-0.9618916940746469,-0.09974197419741974,100
delta_vs_remove_injection_span,injection_end,13,-0.35613271851257733,0.17583096815258262,-1.0301838073976888,-0.15732373237323732,100
delta_vs_remove_injection_span,injection_end,14,-0.2631065645165873,0.22641815157725315,-0.8933774144917408,-0.11443144314431443,100
delta_vs_remove_injection_span,injection_end,15,-0.15183027601148447,0.3232529324034721,-0.8704294469078373,-0.062118211821182115,100
delta_vs_remove_injection_span,injection_end,16,-0.18269204349153823,0.3264093711508588,-0.888751406455067,-0.06719471947194719,100
delta_vs_remove_injection_span,injection_end,17,-0.15996760642560837,0.3569437572062529,-0.8647642548192305,-0.05362136213621362,100
delta_vs_remove_injection_span,injection_end,18,-0.4599888451338485,0.2701643635779469,-0.9295749210909374,-0.040828082808280826,100
delta_vs_remove_injection_span,injection_end,19,-0.24973336464106866,0.36708522772974855,-0.7018506805206499,0.02181818181818182,100
delta_vs_remove_injection_span,injection_end,20,-0.40150007389251985,0.33644276580034654,-0.7047311832935466,0.016297629762976298,100
delta_vs_remove_injection_span,injection_end,21,-0.37266396915992295,0.3421336097198699,-0.6907956744511421,0.02915091509150915,100
delta_vs_remove_injection_span,injection_end,22,0.00849781615008438,0.42940768799524126,-0.6332027030468912,0.06228622862286229,100
delta_vs_remove_injection_span,injection_end,23,-0.00486288618110664,0.4390690309292576,-0.5865628145803707,0.10226222622262227,100
delta_vs_remove_injection_span,injection_end,24,-0.22480836523789827,0.3887291998892921,-0.5863831120003702,0.08589258925892589,100
delta_vs_remove_injection_span,injection_end,25,-0.295961121071761,0.37189792557580975,-0.6162601191118842,0.07375937593759375,100
delta_vs_remove_injection_span,injection_end,26,-0.5517361185142096,0.3138095026956691,-0.7003945677162955,0.017365736573657364,100
delta_vs_remove_injection_span,injection_end,27,-0.6469597367632096,0.2794845255392223,-0.754500430743156,-0.01978997899789979,100
delta_vs_remove_injection_span,injection_end,28,-0.6853179797226623,0.2919834619091571,-0.7465531651255792,0.0018481848184818482,100
delta_vs_remove_injection_span,after_injection,1,-1.0066562583786038,0.26488881974742085,-1.2871003901617328,0.030807080708070807,100
delta_vs_remove_injection_span,after_injection,2,-0.7696184254906908,0.2555582895025438,-0.9194837785723387,0.06983498349834984,100
delta_vs_remove_injection_span,after_injection,3,-0.6203161377141249,0.2677348218202848,-0.8107593785129696,0.042136213621362134,100
delta_vs_remove_injection_span,after_injection,4,-0.5299296268247882,0.2722166550051399,-0.7855067148368831,0.0565016501650165,100
delta_vs_remove_injection_span,after_injection,5,-0.49970860378522364,0.2906632744413721,-0.6640736751466016,0.09976597659765976,100
delta_vs_remove_injection_span,after_injection,6,-0.3140961765476762,0.44724950982492523,-0.7064058929895805,0.13047704770477048,100
delta_vs_remove_injection_span,after_injection,7,-0.11010149287393589,0.48099830218321077,-0.6553936681909838,0.17626162616261626,100
delta_vs_remove_injection_span,after_injection,8,-0.4991293918175459,0.4222786970600789,-0.9397419068069814,0.06582658265826583,100
delta_vs_remove_injection_span,after_injection,9,-0.5247783487163833,0.41315742919690823,-0.8497365403181611,0.0914971497149715,100
delta_vs_remove_injection_span,after_injection,10,-0.5787604216388709,0.44290956476638205,-0.9995052836777047,0.044812481248124814,100
delta_vs_remove_injection_span,after_injection,11,-0.7843704694508133,0.4378808657733972,-1.0746460027926625,0.03003900390039004,100
delta_vs_remove_injection_span,after_injection,12,-0.5157099273770984,0.500969138059522,-0.8577079706911432,0.08386438643864387,100
delta_vs_remove_injection_span,after_injection,13,-0.6618991007707831,0.47489228460527844,-1.067384741967095,-0.00982898289828983,100
delta_vs_remove_injection_span,after_injection,14,-0.35996720012946737,0.4797621266451939,-0.855683543956649,0.03445544554455446,100
delta_vs_remove_injection_span,after_injection,15,-0.3549485641673493,0.47637307457821154,-1.0005353591406037,-0.0018961896189618962,100
delta_vs_remove_injection_span,after_injection,16,-0.21054679582600877,0.48158638569158774,-0.8946734144722275,0.04272427242724272,100
delta_vs_remove_injection_span,after_injection,17,-0.19982699341326238,0.48961552583657103,-0.9406695600548052,0.04634863486348635,100
delta_vs_remove_injection_span,after_injection,18,-0.132640230120449,0.51886812306376,-0.8308711802236706,0.0553015301530153,100
delta_vs_remove_injection_span,after_injection,19,0.022584048863113382,0.51638377773787,-0.43648920824479753,0.19221122112211222,100
delta_vs_remove_injection_span,after_injection,20,0.1154930931837359,0.5310694123250199,-0.5824477250967406,0.12378037803780378,100
delta_vs_remove_injection_span,after_injection,21,0.08729384871302537,0.5282010050086506,-0.577175866669982,0.11185118511851184,100
delta_vs_remove_injection_span,after_injection,22,0.15711152421182983,0.5698512097515875,-0.4997222150220222,0.18004200420042005,100
delta_vs_remove_injection_span,after_injection,23,0.1899432965496436,0.5767676318906861,-0.3812663883252365,0.2302910291029103,100
delta_vs_remove_injection_span,after_injection,24,0.2121540165797492,0.5631662805413428,-0.3688463421173922,0.20566456645664566,100
delta_vs_remove_injection_span,after_injection,25,0.21458569045198272,0.5644024523701672,-0.3500574201445119,0.21363336333633362,100
delta_vs_remove_injection_span,after_injection,26,0.18948614768515537,0.536698211619485,-0.4074143587295689,0.19957995799579958,100
delta_vs_remove_injection_span,after_injection,27,0.2826593801568623,0.585681410161485,-0.3838493651395958,0.18052205220522052,100
delta_vs_remove_injection_span,after_injection,28,0.2871532827394342,0.6057481994604605,-0.3123792855028944,0.22905490549054905,100
delta_vs_remove_injection_span,cot_end,1,-2.5972179020887705,0.27927881996839665,-4.753189905781098,0.2796279627962796,100
delta_vs_remove_injection_span,cot_end,2,-6.700064372140309,0.33177411685459207,-4.411242634642248,0.17156915691569158,100
delta_vs_remove_injection_span,cot_end,3,-5.647984681199113,0.33722287423601244,-3.7484344771205116,0.23873987398739874,100
delta_vs_remove_injection_span,cot_end,4,-6.934952252790081,0.3232839065999141,-4.495258650066148,0.07543954395439544,100
delta_vs_remove_injection_span,cot_end,5,-3.3192442803809152,0.4045426590952277,-4.5248644840361365,0.06982298229822982,100
delta_vs_remove_injection_span,cot_end,6,-1.781967674564355,0.4583390845543192,-2.447374220541374,0.09834983498349835,100
delta_vs_remove_injection_span,cot_end,7,-1.4308874414852197,0.313747611156589,-1.7846328110230423,0.13905790579057906,100
delta_vs_remove_injection_span,cot_end,8,-1.7664942101309196,0.31807516695428967,-2.6349516356497724,0.06358235823582359,100
delta_vs_remove_injection_span,cot_end,9,-1.588794983285052,0.2625432813775517,-2.664829994594684,-0.09822982298229822,100
delta_vs_remove_injection_span,cot_end,10,-1.3945251986715257,0.4784899459944193,-1.8604742905185234,-0.005244524452445245,100
delta_vs_remove_injection_span,cot_end,11,-1.3508265379902804,0.5394466018933284,-2.1548302297346162,0.09827782778277827,100
delta_vs_remove_injection_span,cot_end,12,-0.5110955764593932,0.4995529369577163,-1.2038077567433145,0.12745274527452746,100
delta_vs_remove_injection_span,cot_end,13,-0.6846814691784566,0.4671077310940238,-1.5567950384904088,0.11996399639963996,100
delta_vs_remove_injection_span,cot_end,14,-0.09704780152218495,0.5478958016871524,-0.9440748675139419,0.14853885388538854,100
delta_vs_remove_injection_span,cot_end,15,0.06370977223480556,0.5804324219159261,-0.8061737769757658,0.158991899189919,100
delta_vs_remove_injection_span,cot_end,16,0.1886037835803266,0.648554095253632,-0.4806776868483942,0.2572577257725773,100
delta_vs_remove_injection_span,cot_end,17,0.1346857459390527,0.5541606913070047,-0.40778317046058254,0.2153975397539754,100
delta_vs_remove_injection_span,cot_end,18,-0.046715747272474406,0.5037100160753591,-0.4478348100900913,0.2327152715271527,100
delta_vs_remove_injection_span,cot_end,19,-0.2862916875867929,0.3757913627049992,-0.5906669053190192,0.17014101410141014,100
delta_vs_remove_injection_span,cot_end,20,-0.5301211407804971,0.3341384454980718,-0.6852011758413723,0.20655265526552655,100
delta_vs_remove_injection_span,cot_end,21,-0.35059744583314933,0.39637428549819254,-0.44030085034931843,0.35884788478847884,100
delta_vs_remove_injection_span,cot_end,22,-0.100735520794623,0.472757713681784,-0.3666562154719746,0.39762376237623764,100
delta_vs_remove_injection_span,cot_end,23,-0.12383519394006592,0.44266485880043555,-0.36656243729683413,0.3028622862286229,100
delta_vs_remove_injection_span,cot_end,24,-0.148877500417115,0.41851017323240053,-0.3693708210642046,0.3018061806180618,100
delta_vs_remove_injection_span,cot_end,25,-0.11773250790704837,0.4490377637585613,-0.44582717382020665,0.24412841284128411,100
delta_vs_remove_injection_span,cot_end,26,-0.12669641862632663,0.46914802693898744,-0.4525230130723774,0.2679027902790279,100
delta_vs_remove_injection_span,cot_end,27,-0.2910877220941408,0.44889839721864805,-0.6696327553785482,0.21735373537353736,100
delta_vs_remove_injection_span,cot_end,28,-0.37946839689023015,0.4233661183622694,-0.7311712993500741,0.17602160216021603,100
delta_vs_remove_injection_span,probe_prefix,1,-1.191524008026645,0.35895789542048884,-1.8076849332740292,0.019801980198019802,100
delta_vs_remove_injection_span,probe_prefix,2,-0.19060755970519905,0.4646279775826768,-0.7690894343217836,0.2171977197719772,100
delta_vs_remove_injection_span,probe_prefix,3,-0.2669651073863786,0.41656840284024854,-0.6565430420106373,0.2020762076207621,100
delta_vs_remove_injection_span,probe_prefix,4,-0.5812725034122188,0.3065775342803076,-1.0151591444337615,0.10661866186618661,100
delta_vs_remove_injection_span,probe_prefix,5,-0.5732071269176815,0.31139021768559655,-0.872788588444599,0.13975397539753975,100
delta_vs_remove_injection_span,probe_prefix,6,-0.26946828055855265,0.45860312204787623,-0.6201554258525048,0.17512151215121513,100
delta_vs_remove_injection_span,probe_prefix,7,-0.3557998003808829,0.46419591622958356,-0.9709947098215634,0.12333633363336334,100
delta_vs_remove_injection_span,probe_prefix,8,-0.20716971916085458,0.5153667286975456,-0.8562706541485945,0.21202520252025203,100
delta_vs_remove_injection_span,probe_prefix,9,-0.17303993421498554,0.5510839077246735,-0.7247684159390984,0.21345334533453345,100
delta_vs_remove_injection_span,probe_prefix,10,-0.25195345844672357,0.5250969888808462,-0.9420152592623694,0.18768676867686768,100
delta_vs_remove_injection_span,probe_prefix,11,-0.28089780034320255,0.4864065294393268,-0.7762676857089492,0.15066306630663065,100
delta_vs_remove_injection_span,probe_prefix,12,-0.32821734346009457,0.4869556872109036,-0.8338901802216185,0.12798079807980797,100
delta_vs_remove_injection_span,probe_prefix,13,-0.316722086949927,0.49445221265036515,-1.2032142998619202,-0.020834083408340833,100
delta_vs_remove_injection_span,probe_prefix,14,0.2959787851117216,0.6459977322478301,-0.23127661059658555,0.316003600360036,100
delta_vs_remove_injection_span,probe_prefix,15,0.21967885317489944,0.5973308215035741,-0.20227663496072434,0.34516651665166515,100
delta_vs_remove_injection_span,probe_prefix,16,0.2100734916193442,0.6101486416453412,-0.09326812680319851,0.403960396039604,100
delta_vs_remove_injection_span,probe_prefix,17,0.07707246833295067,0.5660980847955528,-0.1668527199503449,0.3475187518751875,100
delta_vs_remove_injection_span,probe_prefix,18,-0.16453306999369754,0.49060419435617186,-0.29518421201750455,0.2800960096009601,100
delta_vs_remove_injection_span,probe_prefix,19,0.0184243586937608,0.5353704168951542,-0.2790915135458403,0.30655865586558656,100
delta_vs_remove_injection_span,probe_prefix,20,0.0704126251939795,0.5732871272139834,-0.2072433499123203,0.3437503750375038,100
delta_vs_remove_injection_span,probe_prefix,21,0.019070288071616148,0.5450633994835409,-0.14507299396998108,0.355967596759676,100
delta_vs_remove_injection_span,probe_prefix,22,0.018687935281601398,0.52324873197173,-0.20399271868002278,0.3148034803480348,100
delta_vs_remove_injection_span,probe_prefix,23,-0.2094865982411569,0.5116266514358226,-0.21452474131057975,0.28796879687968796,100
delta_vs_remove_injection_span,probe_prefix,24,0.0906310753925984,0.5570847778569195,-0.30546522356718664,0.24222022202220223,100
delta_vs_remove_injection_span,probe_prefix,25,-0.15145021103367617,0.49364809846544155,-0.4173287344765979,0.1999159915991599,100
delta_vs_remove_injection_span,probe_prefix,26,-0.21788800165066124,0.5087222390066957,-0.3216294968740079,0.2692829282928293,100
delta_vs_remove_injection_span,probe_prefix,27,-0.2323040752750869,0.48990809759819304,-0.3592060101860379,0.2495049504950495,100
delta_vs_remove_injection_span,probe_prefix,28,-0.14126540652665942,0.49705658247317736,-0.3218486931935465,0.26327032703270326,100
delta_vs_remove_injection_span,random_mid,1,-1.3612275434315757,0.38556559391081696,-1.1124871691473328,0.30775877587758776,100
delta_vs_remove_injection_span,random_mid,2,-1.2332185091919512,0.26445675969074434,-0.9433494211404365,0.24361236123612362,100
delta_vs_remove_injection_span,random_mid,3,-1.1351339245932683,0.265008836429831,-0.787184523921441,0.23577557755775577,100
delta_vs_remove_injection_span,random_mid,4,-1.179212249641433,0.2638206712739706,-0.6868984586114708,0.24724872487248725,100
delta_vs_remove_injection_span,random_mid,5,-0.9835005471375791,0.3061814780399721,-0.6054288179387357,0.2457005700570057,100
delta_vs_remove_injection_span,random_mid,6,-0.7982580104482668,0.35912099549815046,-0.5875587635466166,0.2763036303630363,100
delta_vs_remove_injection_span,random_mid,7,-0.9703780051789435,0.3062825735106782,-0.8185747197294697,0.19477947794779477,100
delta_vs_remove_injection_span,random_mid,8,-1.2256804391709388,0.3467542797216993,-0.9075064161583029,0.17690969096909692,100
delta_vs_remove_injection_span,random_mid,9,-1.0545769182672942,0.29394485855891583,-0.9885467646819965,0.20740474047404742,100
delta_vs_remove_injection_span,random_mid,10,-0.9922671538992411,0.3321941752430276,-0.8312973968108848,0.28856885688568856,100
delta_vs_remove_injection_span,random_mid,11,-1.3978349857063677,0.34202354153241804,-0.9923051096599815,0.3287488748874888,100
delta_vs_remove_injection_span,random_mid,12,-1.223595976252819,0.30352218981524504,-0.6124986643040837,0.28044404440444043,100
delta_vs_remove_injection_span,random_mid,13,-1.4255505180003625,0.2586839572668166,-0.9256022063698208,0.22083408340834085,100
delta_vs_remove_injection_span,random_mid,14,-1.1457414182053074,0.31742012163833927,-1.2174537586180483,0.24301230123012302,100
delta_vs_remove_injection_span,random_mid,15,-0.8990275936898993,0.3615622574287889,-0.7001725023087066,0.28511251125112513,100
delta_vs_remove_injection_span,random_mid,16,-1.1335420302130421,0.32237681062187806,-0.5621615786159808,0.33927392739273926,100
delta_vs_remove_injection_span,random_mid,17,-1.2100209477921018,0.3400502874407835,-0.6840368204263072,0.3142994299429943,100
delta_vs_remove_injection_span,random_mid,18,-0.9317726272293796,0.3884891658042403,-0.7413652883151864,0.3161356135613561,100
delta_vs_remove_injection_span,random_mid,19,-0.7253183082652936,0.37846774275332695,-0.8531013388542672,0.23223522352235224,100
delta_vs_remove_injection_span,random_mid,20,-0.8554583584608368,0.3408544016257071,-0.9917930098169405,0.22342634263426342,100
delta_vs_remove_injection_span,random_mid,21,-0.8120174768288262,0.32069153848135445,-0.757457409851598,0.25125712571257125,100
delta_vs_remove_injection_span,random_mid,22,-1.163897985749458,0.28405548392832025,-0.9090666116610215,0.22624662466246626,100
delta_vs_remove_injection_span,random_mid,23,-1.0627258523854577,0.2596988774696876,-0.9582516996421291,0.23607560756075607,100
delta_vs_remove_injection_span,random_mid,24,-1.3854989139978495,0.23234029547779075,-1.0691033612815075,0.19032703270327034,100
delta_vs_remove_injection_span,random_mid,25,-1.2202496489798058,0.27761058808289574,-0.9710826405980351,0.27156315631563155,100
delta_vs_remove_injection_span,random_mid,26,-2.0094260713071885,0.26943906893784264,-1.4011540654094259,0.2836243624362436,100
delta_vs_remove_injection_span,random_mid,27,-1.6389234869891753,0.2698763226758847,-1.4919777731379713,0.25854185418541853,100
delta_vs_remove_injection_span,random_mid,28,-1.5005125805464385,0.3510198451276516,-1.1835060596352132,0.2703390339033903,100
delta_vs_replace_with_control_number,injection_end,1,-2.8289871779611797,0.15383738351331794,-2.4430908106042075,0.12925292529252924,100
delta_vs_replace_with_control_number,injection_end,2,-1.1882681090304374,0.15507355534214237,-1.4996947152135576,0.2091809180918092,100
delta_vs_replace_with_control_number,injection_end,3,-2.710093610725444,0.17880739080722516,-1.417813999950079,0.22717071707170716,100
delta_vs_replace_with_control_number,injection_end,4,-1.327777013172303,0.26153513822033403,-0.9456792771739424,0.21946594659465946,100
delta_vs_replace_with_control_number,injection_end,5,-1.7184387503202783,0.22348373488749468,-1.0234371309203762,0.16656465646564655,100
delta_vs_replace_with_control_number,injection_end,6,-1.1453982065483803,0.22047730797222068,-0.7259115562093352,0.1671047104710471,100
delta_vs_replace_with_control_number,injection_end,7,-0.5557647755792496,0.26936544200131907,-0.3316160741933254,0.2932973297329733,100
delta_vs_replace_with_control_number,injection_end,8,-0.16929892294881976,0.39556298355558167,-0.04272337464822873,0.42415841584158415,100
delta_vs_replace_with_control_number,injection_end,9,-0.0853881860629715,0.42271075711675543,0.0517776736544765,0.4939093909390939,100
delta_vs_replace_with_control_number,injection_end,10,-0.134395296459896,0.3523640360039418,0.06048614902996319,0.49836183618361835,100
delta_vs_replace_with_control_number,injection_end,11,-0.17447846917380705,0.34049932966580926,-0.004367987010802654,0.4096729672967297,100
delta_vs_replace_with_control_number,injection_end,12,0.013443856517521668,0.414633634390553,0.0605106787203491,0.4607740774077408,100
delta_vs_replace_with_control_number,injection_end,13,0.025260348673959654,0.44207077443993226,0.011176887226297949,0.4079447944794479,100
delta_vs_replace_with_control_number,injection_end,14,-0.007994019786733642,0.41326544421107736,0.023120710079593265,0.44363636363636366,100
delta_vs_replace_with_control_number,injection_end,15,-0.0451705081465279,0.3741711326308994,0.023509279187649335,0.41627362736273626,100
delta_vs_replace_with_control_number,injection_end,16,-0.16113154161798726,0.35185290782180856,-0.07510357018895708,0.39746774677467744,100
delta_vs_replace_with_control_number,injection_end,17,-0.07322923069536258,0.4326687374050644,-0.03872207299081132,0.43493549354935496,100
delta_vs_replace_with_control_number,injection_end,18,0.09651734601171935,0.43231209170956664,-0.014948249575221118,0.3974077407740774,100
delta_vs_replace_with_control_number,injection_end,19,0.03756778132759386,0.41591906087353675,-0.06460814053792174,0.35128712871287127,100
delta_vs_replace_with_control_number,injection_end,20,0.008757519967711791,0.42116033221441623,-0.09642439686105209,0.3470627062706271,100
delta_vs_replace_with_control_number,injection_end,21,-0.015386039234480897,0.407514312587789,-0.19655876508422,0.33003300330033003,100
delta_vs_replace_with_control_number,injection_end,22,-0.10962155178582922,0.37465120080100306,-0.24715895121500475,0.29731773177317733,100
delta_vs_replace_with_control_number,injection_end,23,-0.05628893090150067,0.4092881192739803,-0.17356821888363605,0.342022202220222,100
delta_vs_replace_with_control_number,injection_end,24,0.007961013372678849,0.4377261575004944,-0.17205595220536507,0.3424902490249025,100
delta_vs_replace_with_control_number,injection_end,25,-0.013762253765977839,0.39769447296597754,-0.18973161363739854,0.3264806480648065,100
delta_vs_replace_with_control_number,injection_end,26,-0.03046918193079251,0.4175812969125206,-0.15933507901028343,0.3274887488748875,100
delta_vs_replace_with_control_number,injection_end,27,-0.07608849136854134,0.39364271663701944,-0.12010848401006036,0.3196999699969997,100
delta_vs_replace_with_control_number,injection_end,28,-0.20429766389072013,0.33610172674168115,-0.20644788915124224,0.30721872187218724,100
delta_vs_replace_with_control_number,after_injection,1,-2.7739226560752885,0.20719804392618776,-1.7360487322747065,0.21714971497149715,100
delta_vs_replace_with_control_number,after_injection,2,-1.413377013903141,0.1974040315466147,-0.6990759885102509,0.3555115511551155,100
delta_vs_replace_with_control_number,after_injection,3,-1.3629134072841471,0.11298404383389049,-0.5772662018145469,0.3750975097509751,100
delta_vs_replace_with_control_number,after_injection,4,-1.171168900354889,0.09892975131067872,-0.5254709095708576,0.3795259525952595,100
delta_vs_replace_with_control_number,after_injection,5,-0.7690288481337009,0.14819704411099213,-0.38260839445589667,0.4417881788178818,100
