elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
150,902,798,300,200,386,654,9,0,36,958
600,12,579,333,710,96,645,123,584,41,445
851,305,358,106,101,486,657,573,902,378,866
152,3,960,419,622,207,652,363,884,368,487
453,904,288,619,690,509,660,373,94,363,51
153,528,128,103,619,506,679,193,184,822,297
800,321,457,116,686,481,677,156,204,31,587
855,384,420,336,620,768,665,30,284,81,558
811,456,428,111,644,411,655,306,484,836,468
151,912,430,343,306,488,662,39,2,978,893
