,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
000,-2.345703125,-2.775390625,-4.14453125,-5.80078125,-4.67578125,-2.82421875,-4.87890625,-6.96484375,-3.462890625,-8.6171875
001,-1.8232421875,-1.9169921875,-4.98046875,-6.71484375,-4.49609375,-3.71875,-4.41796875,-7.16796875,-5.3671875,-8.7734375
002,-2.572265625,-1.619140625,-4.28515625,-6.01953125,-2.751953125,-2.70703125,-4.51171875,-6.89453125,-4.01171875,-9.1640625
003,-1.658203125,-2.220703125,-4.98046875,-5.56640625,-3.986328125,-2.775390625,-4.65234375,-6.76953125,-5.66015625,-8.5703125
004,-2.310546875,-1.990234375,-4.3359375,-5.75,-4.6171875,-2.1953125,-3.974609375,-8.125,-4.9609375,-8.59375
005,-3.220703125,-2.470703125,-4.890625,-5.21875,-4.9296875,-2.193359375,-4.5546875,-6.5234375,-5.48046875,-9.3046875
006,-2.966796875,-2.513671875,-4.9609375,-7.4140625,-4.0390625,-2.369140625,-5.015625,-6.28125,-5.5546875,-8.921875
007,-4.98046875,-2.240234375,-9.1796875,-3.474609375,-9.578125,-8.5859375,-7.98046875,-7.01953125,-9.0234375,-10.65625
008,-2.158203125,-1.9873046875,-5.70703125,-6.60546875,-6.66015625,-4.16015625,-5.45703125,-7.54296875,-7.2421875,-8.5625
009,-2.365234375,-2.091796875,-4.234375,-5.15625,-4.0625,-3.07421875,-4.1640625,-6.4453125,-6.3046875,-8.671875
010,-2.421875,-3.1015625,-5.4609375,-7.078125,-5.609375,-4.57421875,-5.2578125,-6.8984375,-5.3125,-9.3515625
011,-0.19873046875,-4.05859375,-5.67578125,-7.71484375,-5.81640625,-5.9296875,-4.07421875,-7.30859375,-8.0234375,-8.609375
012,-2.384765625,-0.94677734375,-5.75,-8.0546875,-3.634765625,-2.759765625,-5.5,-7.859375,-5.4296875,-9.0703125
013,-0.974609375,-2.021484375,-5.171875,-6.6640625,-3.958984375,-3.744140625,-4.4765625,-7.3671875,-7.1484375,-8.3984375
014,-1.5166015625,-1.9384765625,-4.0078125,-6.84375,-4.234375,-2.3984375,-2.421875,-8.09375,-5.08203125,-7.7734375
015,-1.599609375,-2.380859375,-5.69140625,-6.50390625,-4.77734375,-3.19140625,-3.177734375,-6.64453125,-6.4296875,-7.98046875
016,-1.5458984375,-3.216796875,-5.15625,-8.6796875,-3.240234375,-2.97265625,-2.560546875,-6.9375,-4.359375,-7.8125
017,-2.287109375,-2.818359375,-4.828125,-6.0859375,-4.2890625,-3.505859375,-2.115234375,-6.8515625,-6.171875,-8.828125
018,-0.81201171875,-3.046875,-5.328125,-7.1796875,-4.3125,-3.701171875,-3.6953125,-6.4921875,-5.3984375,-7.3828125
019,-1.853515625,-3.806640625,-3.705078125,-6.55078125,-2.908203125,-2.83203125,-1.5888671875,-6.47265625,-4.25390625,-8.6875
020,-1.154296875,-2.935546875,-4.61328125,-6.66796875,-4.55078125,-4.0078125,-2.919921875,-6.53515625,-5.59375,-8.8515625
021,-1.6376953125,-1.6845703125,-3.505859375,-7.40234375,-2.544921875,-2.7890625,-3.748046875,-6.85546875,-4.44921875,-7.83203125
022,-1.94921875,-2.62109375,-4.39453125,-8.1015625,-1.74609375,-3.01953125,-3.98046875,-7.16015625,-3.97265625,-8.4453125
023,-1.740234375,-2.365234375,-4.140625,-7.1171875,-2.927734375,-3.408203125,-3.818359375,-6.6328125,-4.49609375,-8.34375
024,-2.42578125,-1.1201171875,-4.14453125,-7.00390625,-3.45703125,-2.50390625,-3.16796875,-7.57421875,-3.376953125,-7.55859375
025,-2.744140625,-1.9794921875,-4.46484375,-7.80078125,-3.908203125,-2.48828125,-3.486328125,-6.77734375,-3.77734375,-8.109375
026,-2.34765625,-2.59765625,-4.31640625,-8.71875,-2.66796875,-2.505859375,-3.14453125,-6.63671875,-3.1015625,-8.0703125
027,-2.408203125,-2.095703125,-4.9609375,-6.75,-4.203125,-3.091796875,-2.830078125,-6.890625,-4.8515625,-8.109375
028,-1.3134765625,-2.21875,-4.7890625,-8.03125,-4.4765625,-3.791015625,-3.921875,-7.421875,-4.9609375,-7.375
029,-1.4892578125,-4.29296875,-3.240234375,-6.87890625,-3.052734375,-2.359375,-2.052734375,-6.98046875,-3.6171875,-7.64453125
