,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-5.96484375,-6.3359375,-5.98828125,-7.30859375,-7.35546875,-7.515625
1,-5.96484375,-5.5703125,-6.5,-8.8203125,-7.2421875,-6.78125
2,-5.6796875,-5.8046875,-5.9296875,-5.83984375,-5.78515625,-6.07421875
3,-5.87109375,-5.59765625,-7.3515625,-6.875,-7.05078125,-6.69140625
4,-5.88671875,-5.9140625,-6.046875,-6.66015625,-7.2265625,-7.16015625
5,-5.578125,-6.390625,-6.3203125,-7.5625,-7.76171875,-7.03515625
6,-5.84765625,-6.03515625,-6.05078125,-6.51953125,-5.75390625,-6.98828125
7,-5.87109375,-6.234375,-6.53515625,-5.8984375,-6.43359375,-6.453125
8,-5.61328125,-7.01171875,-5.8203125,-4.88671875,-5.6953125,-5.9765625
9,-5.8984375,-6.32421875,-5.7890625,-6.375,-6.05859375,-6.22265625
10,-5.83203125,-5.91015625,-5.9453125,-6.38671875,-6.9375,-7.87109375
11,-5.875,-6.296875,-6.12890625,-6.08984375,-7.296875,-7.2265625
12,-5.8203125,-6.22265625,-6.58984375,-6.52734375,-6.52734375,-6.796875
13,-5.76953125,-6.2421875,-5.70703125,-6.8359375,-7.25,-7.08203125
14,-6.21875,-6.359375,-7.16796875,-6.6171875,-7.23046875,-6.28515625
15,-5.40625,-6.109375,-6.0546875,-6.33984375,-6.30859375,-6.37890625
16,-5.82421875,-5.890625,-6.71875,-6.81640625,-7.1015625,-7.1015625
17,-5.9453125,-5.92578125,-6.30078125,-5.75,-6.42578125,-6.79296875
18,-5.58203125,-5.25390625,-6.93359375,-6.5859375,-6.546875,-6.91015625
19,-5.77734375,-6.22265625,-6.328125,-6.1953125,-5.91015625,-6.50390625
