,agent0_chimpanzee,agent1_chimpanzee,agent2_chimpanzee,agent3_chimpanzee,agent4_chimpanzee,agent5_chimpanzee
0,-6.36328125,-6.0,-6.21875,-6.4765625,-6.4921875,-6.265625
1,-7.08984375,-7.05859375,-6.0390625,-7.44140625,-6.4609375,-6.78125
2,-6.546875,-6.51171875,-6.58203125,-6.53515625,-6.77734375,-6.8828125
3,-7.140625,-6.2109375,-6.15234375,-5.79296875,-5.984375,-6.49609375
4,-7.22265625,-6.78515625,-6.359375,-6.49609375,-6.58203125,-6.828125
5,-6.1796875,-5.15625,-5.68359375,-5.17578125,-6.90625,-6.90234375
6,-6.7109375,-6.38671875,-5.54296875,-6.0703125,-6.0625,-5.95703125
7,-7.40625,-6.81640625,-5.59375,-5.7109375,-6.4765625,-6.65234375
8,-7.09375,-6.390625,-6.16796875,-5.8671875,-5.078125,-7.3984375
9,-6.7109375,-5.92578125,-5.09375,-6.6171875,-6.7109375,-6.49609375
10,-5.90234375,-4.99609375,-6.87890625,-7.234375,-6.43359375,-6.88671875
11,-6.859375,-6.90234375,-6.16015625,-6.4609375,-5.9296875,-5.20703125
12,-6.12890625,-5.8984375,-6.31640625,-5.125,-5.45703125,-5.9140625
13,-6.90234375,-7.13671875,-6.7890625,-6.98828125,-6.9921875,-6.6328125
14,-6.6015625,-6.05859375,-6.23046875,-6.3828125,-6.65625,-6.609375
15,-6.8828125,-5.4921875,-5.6953125,-6.9609375,-7.00390625,-7.16796875
16,-6.4453125,-6.1015625,-6.984375,-6.70703125,-7.12109375,-6.98828125
17,-7.03125,-6.2734375,-6.27734375,-6.69140625,-6.0078125,-5.89453125
18,-6.43359375,-6.26953125,-5.02734375,-5.33984375,-5.84765625,-5.89453125
19,-6.75,-6.37109375,-6.0625,-6.703125,-6.8125,-6.66796875
