,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-0.791015625,-0.919921875,-1.9169921875,-2.044921875,-2.845703125,-1.587890625
1,-0.76318359375,-1.134765625,-3.212890625,-3.212890625,-3.859375,-3.46875
2,-0.85546875,-0.71337890625,-2.16015625,-2.384765625,-2.2890625,-2.185546875
3,-0.390625,-1.177734375,-0.72705078125,-1.0869140625,-0.76904296875,-1.0732421875
4,-0.78369140625,-1.14453125,-1.02734375,-1.2802734375,-1.5419921875,-1.541015625
5,-0.1292724609375,-0.70849609375,-1.9833984375,-2.080078125,-3.046875,-2.9453125
6,-0.78369140625,-1.8876953125,-1.69921875,-2.177734375,-3.01953125,-3.91015625
7,-0.84765625,-1.2646484375,-0.970703125,-1.0947265625,-1.2177734375,-1.548828125
8,-0.69677734375,-1.9921875,-2.662109375,-3.189453125,-2.865234375,-2.826171875
9,-0.77392578125,-0.5771484375,-0.60546875,-0.78076171875,-0.80517578125,-0.494873046875
10,-0.474365234375,-1.4228515625,-1.25,-1.9111328125,-2.275390625,-2.6015625
11,-0.473388671875,-0.8662109375,-0.463623046875,-1.931640625,-2.23046875,-2.45703125
12,-0.484619140625,-0.150146484375,-2.376953125,-2.33203125,-2.576171875,-2.943359375
13,-0.1473388671875,-1.0947265625,-2.4765625,-2.548828125,-2.349609375,-2.365234375
14,-1.0234375,-1.0107421875,-2.412109375,-2.529296875,-2.908203125,-2.298828125
15,-0.36083984375,-0.9521484375,-2.619140625,-2.609375,-2.490234375,-2.212890625
16,-0.5830078125,-0.8896484375,-2.619140625,-1.666015625,-1.1962890625,-2.53125
17,-0.66455078125,-1.09765625,-2.185546875,-2.58203125,-2.244140625,-2.259765625
18,-0.6513671875,-0.83984375,-1.5,-1.1572265625,-2.103515625,-2.61328125
19,-0.62744140625,-0.87158203125,-2.294921875,-2.689453125,-2.767578125,-2.810546875
