,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-0.46484375,-0.298828125,-1.2138671875,-2.263671875,-2.052734375,-2.056640625
1,-0.66015625,-0.630859375,-0.8818359375,-2.814453125,-2.76171875,-2.3828125
2,-0.357666015625,-1.8037109375,-2.384765625,-2.876953125,-2.982421875,-2.521484375
3,-0.33984375,-0.56103515625,-2.412109375,-2.548828125,-2.1328125,-2.40625
4,-0.5048828125,-0.8271484375,-1.2998046875,-1.3994140625,-1.126953125,-1.3642578125
5,-0.90380859375,-1.1015625,-1.6162109375,-1.0908203125,-1.3486328125,-1.4130859375
6,-0.60107421875,-1.1630859375,-1.333984375,-2.7421875,-1.337890625,-0.9306640625
7,-0.488525390625,-0.5908203125,-2.982421875,-2.806640625,-2.482421875,-1.9658203125
8,-1.146484375,-0.65087890625,-0.689453125,-2.15234375,-2.16015625,-2.228515625
9,-0.5341796875,-1.177734375,-1.2119140625,-1.669921875,-2.01171875,-2.142578125
10,-0.93359375,-0.7109375,-3.326171875,-3.44140625,-4.45703125,-2.39453125
11,-0.82470703125,-2.43359375,-2.578125,-2.580078125,-2.580078125,-2.369140625
12,-0.90185546875,-1.8896484375,-2.68359375,-2.322265625,-2.685546875,-2.490234375
13,-1.12890625,-3.33984375,-2.787109375,-2.619140625,-2.83984375,-2.724609375
14,-0.72900390625,-0.65380859375,-2.3828125,-2.564453125,-2.927734375,-2.55078125
15,-0.529296875,-2.306640625,-2.458984375,-2.458984375,-2.458984375,-2.4140625
16,-0.4765625,-0.92138671875,-0.82666015625,-1.90625,-1.9580078125,-1.984375
17,-0.37646484375,-1.330078125,-1.2470703125,-2.556640625,-2.529296875,-1.8076171875
18,-0.489990234375,-0.83740234375,-1.865234375,-2.275390625,-2.23828125,-2.431640625
19,-0.420654296875,-0.98193359375,-2.689453125,-4.3671875,-2.54296875,-2.421875
