,agent0_giraffe,agent1_giraffe,agent2_giraffe,agent3_giraffe,agent4_giraffe,agent5_giraffe
0,-1.1103515625,-1.8388671875,-2.927734375,-3.6796875,-4.1640625,-4.28515625
1,-1.017578125,-1.6103515625,-3.24609375,-4.0625,-3.3046875,-3.490234375
2,-1.2529296875,-3.841796875,-4.62109375,-4.5546875,-4.89453125,-4.5546875
3,-0.99609375,-1.1328125,-2.73828125,-4.15625,-4.13671875,-3.81640625
4,-0.53369140625,-0.395751953125,-0.11627197265625,-1.1435546875,-0.5712890625,-1.58984375
5,-0.5654296875,-2.03515625,-0.5126953125,-3.677734375,-3.271484375,-3.443359375
6,-1.3447265625,-1.8681640625,-3.423828125,-4.29296875,-5.12109375,-4.7578125
7,-1.1201171875,-1.09765625,-1.72265625,-4.3203125,-4.390625,-4.8203125
8,-2.705078125,-1.8564453125,-3.369140625,-4.05078125,-5.10546875,-4.921875
9,-1.5615234375,-0.28564453125,-1.53125,-1.330078125,-2.349609375,-2.57421875
10,-0.92041015625,-0.55029296875,-1.462890625,-4.4453125,-4.8203125,-4.359375
11,-0.921875,-1.041015625,-0.9619140625,-3.556640625,-3.705078125,-3.455078125
12,-1.1689453125,-1.6103515625,-1.1298828125,-1.6923828125,-1.34375,-3.029296875
13,-1.2744140625,-0.8525390625,-1.529296875,-3.3046875,-3.955078125,-4.49609375
14,-2.001953125,-1.0771484375,-1.4326171875,-2.919921875,-4.2578125,-4.2265625
15,-0.5615234375,-1.771484375,-4.51171875,-5.0859375,-5.1796875,-4.8125
16,-0.76416015625,-0.316162109375,-1.3935546875,-0.9638671875,-2.1875,-3.978515625
17,-1.205078125,-1.9013671875,-2.875,-2.390625,-2.2890625,-3.939453125
18,-0.81640625,-0.90234375,-1.9658203125,-2.5859375,-2.5234375,-3.673828125
19,-0.72265625,-1.0263671875,-1.3466796875,-3.12109375,-3.798828125,-3.98046875
