,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-2.333984375,-4.0625,-6.19140625,-7.19921875,-8.609375,-7.953125
1,-1.875,-2.974609375,-6.046875,-6.84765625,-7.46875,-7.3515625
2,-1.8779296875,-2.017578125,-4.2109375,-7.30859375,-7.4921875,-8.4375
3,-2.18359375,-3.79296875,-3.642578125,-3.869140625,-6.828125,-7.69140625
4,-2.48828125,-2.421875,-2.783203125,-5.9765625,-3.865234375,-6.56640625
5,-2.919921875,-2.119140625,-3.91796875,-8.0859375,-8.296875,-8.8046875
6,-3.103515625,-4.828125,-7.4765625,-7.84765625,-7.79296875,-7.6171875
7,-2.88671875,-6.4375,-7.734375,-7.84765625,-8.046875,-8.1640625
8,-1.9931640625,-3.349609375,-3.427734375,-5.59765625,-5.46484375,-5.7734375
9,-2.212890625,-2.658203125,-2.056640625,-1.1982421875,-2.337890625,-5.375
10,-3.677734375,-3.431640625,-3.224609375,-6.58203125,-6.96484375,-8.1640625
11,-2.798828125,-2.373046875,-6.2265625,-5.78515625,-6.67578125,-5.9140625
12,-2.154296875,-1.5244140625,-7.08984375,-8.0625,-7.3359375,-7.8828125
13,-2.619140625,-3.65625,-6.46484375,-3.236328125,-6.90234375,-7.34375
14,-3.458984375,-3.591796875,-5.4765625,-7.86328125,-7.7578125,-7.9765625
15,-3.052734375,-3.38671875,-7.85546875,-7.08984375,-7.19140625,-4.34765625
16,-2.841796875,-3.869140625,-4.15234375,-6.68359375,-8.4296875,-7.8125
17,-3.080078125,-5.0625,-5.3984375,-6.8515625,-7.41015625,-7.29296875
18,-2.28125,-2.994140625,-5.97265625,-7.02734375,-6.25390625,-8.0703125
19,-3.25390625,-2.67578125,-4.91796875,-7.3515625,-7.6953125,-7.125
