,agent0_kangaroo,agent1_kangaroo,agent2_kangaroo,agent3_kangaroo,agent4_kangaroo,agent5_kangaroo
0,-3.400390625,-2.439453125,-3.45703125,-2.1640625,-4.93359375,-3.6953125
1,-2.64453125,-2.94140625,-4.671875,-7.26953125,-7.4375,-8.1953125
2,-2.455078125,-3.302734375,-6.73046875,-8.1328125,-8.078125,-9.2578125
3,-2.984375,-3.05078125,-1.36328125,-2.267578125,-2.51171875,-5.30078125
4,-2.015625,-3.4765625,-2.919921875,-3.005859375,-5.51171875,-8.1875
5,-3.017578125,-2.9375,-4.08203125,-8.5546875,-8.5234375,-7.34375
6,-2.92578125,-6.08203125,-6.5,-8.2265625,-7.69140625,-7.7578125
7,-1.9267578125,-1.82421875,-4.56640625,-4.953125,-5.1015625,-7.41015625
8,-2.537109375,-7.32421875,-8.65625,-8.71875,-9.171875,-8.9453125
9,-2.875,-5.890625,-6.484375,-6.69140625,-7.703125,-8.4375
10,-2.77734375,-4.3828125,-8.546875,-8.2265625,-9.7890625,-9.2265625
11,-2.609375,-4.4453125,-5.49609375,-8.6796875,-8.40625,-9.421875
12,-2.017578125,-4.1328125,-6.3203125,-7.59375,-6.4140625,-8.203125
13,-3.294921875,-4.5390625,-5.02734375,-6.265625,-9.609375,-7.73828125
14,-2.2265625,-3.1875,-2.841796875,-2.744140625,-4.06640625,-5.875
15,-2.974609375,-6.36328125,-8.8203125,-9.2265625,-9.1171875,-9.0078125
16,-2.380859375,-4.63671875,-4.63671875,-3.947265625,-4.203125,-4.421875
17,-2.748046875,-2.267578125,-2.623046875,-5.8359375,-8.7890625,-8.9453125
18,-2.6484375,-4.27734375,-8.3984375,-8.2890625,-8.2890625,-8.3828125
19,-2.294921875,-6.88671875,-8.1015625,-8.109375,-8.34375,-7.9609375
