,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-4.07421875,-7.15625,-7.53515625,-7.11328125,-7.6015625,-6.97265625
1,-3.56640625,-3.740234375,-3.546875,-6.9375,-7.5078125,-7.4375
2,-3.400390625,-4.87890625,-7.0703125,-9.09375,-9.1484375,-8.7890625
3,-4.16796875,-3.693359375,-4.22265625,-5.9609375,-6.82421875,-8.421875
4,-3.69140625,-4.22265625,-7.21484375,-6.77734375,-7.88671875,-7.09375
5,-4.57421875,-3.677734375,-5.265625,-6.57421875,-7.125,-6.55078125
6,-4.07421875,-5.45703125,-7.00390625,-7.0,-7.30859375,-7.078125
7,-4.31640625,-3.861328125,-6.09765625,-6.6640625,-7.29296875,-7.2421875
8,-3.6484375,-3.98046875,-3.759765625,-8.0703125,-7.91015625,-5.94140625
9,-3.69921875,-4.015625,-3.52734375,-6.53125,-5.43359375,-4.23828125
10,-1.994140625,-2.740234375,-4.484375,-6.3046875,-6.640625,-6.328125
11,-3.962890625,-6.328125,-8.0859375,-8.265625,-7.48828125,-8.1796875
12,-2.22265625,-7.8984375,-8.6171875,-8.4375,-8.5234375,-7.57421875
13,-3.87109375,-5.6875,-7.3515625,-7.41796875,-7.6875,-5.90625
14,-3.966796875,-6.703125,-7.47265625,-7.6328125,-7.5703125,-7.1640625
15,-2.234375,-4.171875,-4.21484375,-7.25,-8.859375,-7.9765625
16,-4.02734375,-4.484375,-6.63671875,-6.91796875,-7.33203125,-8.0546875
17,-2.90625,-3.59375,-4.734375,-8.125,-8.03125,-10.2109375
18,-3.779296875,-4.4453125,-4.8515625,-6.01171875,-8.265625,-6.9140625
19,-2.5625,-3.595703125,-6.359375,-7.640625,-7.1953125,-7.7734375
