,agent0_koala,agent1_koala,agent2_koala,agent3_koala,agent4_koala,agent5_koala
0,-3.18359375,-3.75390625,-3.953125,-5.9921875,-7.6640625,-8.5546875
1,-2.9453125,-4.46875,-3.76171875,-5.33203125,-6.69921875,-5.85546875
2,-3.068359375,-3.630859375,-5.546875,-8.15625,-6.05859375,-6.78515625
3,-2.93359375,-5.33203125,-8.5625,-8.34375,-8.375,-8.2734375
4,-3.271484375,-3.80859375,-3.564453125,-4.7890625,-6.38671875,-7.22265625
5,-3.8671875,-7.54296875,-8.15625,-6.328125,-7.35546875,-7.08984375
6,-3.220703125,-3.78125,-3.720703125,-7.26953125,-5.9296875,-6.62890625
7,-3.154296875,-3.298828125,-4.87109375,-6.10546875,-5.28515625,-4.8515625
8,-3.6015625,-4.671875,-7.08984375,-7.203125,-9.9765625,-11.9140625
9,-2.7734375,-5.7109375,-4.0625,-5.61328125,-6.7265625,-7.40625
10,-3.4296875,-3.337890625,-4.03515625,-3.638671875,-4.54296875,-4.08203125
11,-3.30859375,-4.8515625,-7.484375,-7.76171875,-8.671875,-7.9453125
12,-2.783203125,-5.70703125,-9.390625,-7.0546875,-9.4140625,-8.0234375
13,-2.73046875,-3.4140625,-4.1484375,-4.45703125,-7.06640625,-5.33984375
14,-2.876953125,-4.16015625,-4.5,-6.01953125,-6.6640625,-6.40625
15,-2.7265625,-4.265625,-3.56640625,-4.72265625,-6.95703125,-6.42578125
16,-2.92578125,-3.951171875,-6.88671875,-6.734375,-8.03125,-7.16015625
17,-2.68359375,-2.978515625,-5.09375,-6.8984375,-8.4453125,-8.015625
18,-2.96484375,-5.72265625,-7.07421875,-7.01171875,-7.01171875,-6.8984375
19,-4.109375,-5.33203125,-3.3515625,-3.33984375,-3.67578125,-6.76171875
