,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-0.22412109375,-3.435546875,-4.875,-7.20703125,-6.85546875,-8.1328125
1,-0.40673828125,-7.140625,-8.2890625,-7.0546875,-6.5390625,-7.07421875
2,-0.31640625,-5.6015625,-6.40234375,-6.28515625,-7.796875,-7.17578125
3,-0.268798828125,-4.50390625,-4.94921875,-7.00390625,-7.2265625,-7.48046875
4,-0.390380859375,-7.37890625,-7.55078125,-8.125,-8.390625,-7.890625
5,-0.28271484375,-4.59375,-2.208984375,-5.65234375,-5.4296875,-5.44921875
6,-0.298583984375,-2.6015625,-4.62109375,-6.93359375,-6.875,-6.39453125
7,-0.53125,-2.580078125,-5.34765625,-5.10546875,-6.62109375,-6.3828125
8,-0.8193359375,-5.55078125,-6.78125,-7.85546875,-7.85546875,-7.1796875
9,-0.30322265625,-1.0205078125,-2.517578125,-5.16015625,-7.171875,-6.31640625
10,-0.2783203125,-6.6015625,-7.88671875,-8.2421875,-8.125,-7.8984375
11,-0.7177734375,-3.369140625,-4.53515625,-5.34765625,-7.37890625,-7.0390625
12,-0.66015625,-3.63671875,-3.3515625,-4.85546875,-4.96484375,-5.5390625
13,-0.296630859375,-5.64453125,-5.46875,-7.25390625,-7.1796875,-7.546875
14,-0.91650390625,-5.4375,-7.0546875,-7.36328125,-7.99609375,-8.359375
15,-0.2919921875,-4.875,-7.00390625,-7.25,-7.0859375,-7.25
16,-0.2457275390625,-6.359375,-7.01171875,-7.640625,-8.078125,-7.72265625
17,-0.595703125,-4.99609375,-6.21875,-6.1953125,-6.1953125,-6.26953125
18,-0.634765625,-6.828125,-5.26953125,-6.59375,-6.94921875,-6.36328125
19,-0.6259765625,-3.474609375,-4.62890625,-4.8828125,-4.26171875,-5.9140625
