,agent0_lion,agent1_lion,agent2_lion,agent3_lion,agent4_lion,agent5_lion
0,-6.7890625,-8.359375,-8.4453125,-8.5078125,-8.46875,-7.984375
1,-8.21875,-7.265625,-8.0859375,-8.1953125,-7.94921875,-7.95703125
2,-9.53125,-7.41015625,-6.28515625,-6.93359375,-6.671875,-7.234375
3,-8.515625,-7.28125,-7.01953125,-7.73046875,-8.1484375,-7.38671875
4,-8.6875,-8.0390625,-8.0390625,-8.3203125,-8.3203125,-8.484375
5,-8.328125,-8.2421875,-7.79296875,-7.90234375,-7.92578125,-8.9921875
6,-9.515625,-7.51953125,-7.86328125,-8.0859375,-8.3671875,-8.1953125
7,-9.1640625,-7.11328125,-7.9765625,-7.13671875,-8.1640625,-8.1484375
8,-10.1875,-7.84765625,-8.140625,-7.83984375,-8.2578125,-8.5
9,-7.7734375,-7.39453125,-8.7890625,-8.8671875,-8.40625,-7.8671875
10,-8.5859375,-8.328125,-8.265625,-7.90625,-8.390625,-8.3671875
11,-7.90625,-7.984375,-8.4375,-7.26953125,-7.63671875,-7.828125
12,-7.3828125,-7.71875,-7.3984375,-8.078125,-8.3671875,-8.3515625
13,-8.765625,-7.42578125,-7.55078125,-8.984375,-9.15625,-8.1328125
14,-8.203125,-7.55078125,-7.4609375,-7.6640625,-7.3671875,-8.109375
15,-8.859375,-8.4921875,-8.7890625,-8.140625,-7.41015625,-7.27734375
16,-8.3203125,-6.5625,-8.4375,-7.89453125,-8.640625,-8.6875
17,-9.234375,-7.62109375,-7.3671875,-7.80859375,-8.2421875,-8.1640625
18,-7.58203125,-8.421875,-8.203125,-7.796875,-7.57421875,-7.359375
19,-7.25,-7.203125,-5.5,-6.515625,-8.6953125,-8.59375
