,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-6.0859375,-6.0234375,-7.4375,-7.484375,-7.515625,-7.21875
1,-5.03125,-4.2734375,-3.212890625,-6.5078125,-7.03125,-6.87890625
2,-6.84765625,-5.921875,-5.375,-6.7265625,-6.4765625,-6.48828125
3,-6.98828125,-4.5390625,-6.74609375,-6.89453125,-8.0,-9.0546875
4,-7.0625,-6.8203125,-5.69921875,-6.4765625,-6.30859375,-6.65234375
5,-6.0,-5.48828125,-6.73046875,-6.6484375,-6.19140625,-6.21484375
6,-7.34375,-5.15234375,-6.93359375,-7.48828125,-7.03125,-6.5546875
7,-5.76171875,-4.6015625,-3.6484375,-4.3515625,-5.140625,-6.32421875
8,-6.71484375,-5.3359375,-6.69921875,-6.11328125,-6.72265625,-6.68359375
9,-6.44140625,-6.12109375,-6.50390625,-7.10546875,-7.15234375,-6.8046875
10,-5.44921875,-4.10546875,-3.9765625,-4.3203125,-7.19921875,-6.48046875
11,-5.00390625,-5.41015625,-4.64453125,-5.91796875,-6.5625,-6.36328125
12,-4.82421875,-4.8671875,-7.07421875,-6.69140625,-7.30078125,-6.5625
13,-5.46875,-4.81640625,-5.59375,-6.76171875,-5.30859375,-7.22265625
14,-7.37109375,-6.265625,-6.1875,-6.21875,-6.40625,-6.48828125
15,-6.640625,-6.234375,-5.8203125,-5.91015625,-7.234375,-6.8046875
16,-7.015625,-5.71875,-5.23046875,-6.375,-7.12890625,-6.671875
17,-7.34375,-6.640625,-6.7890625,-5.93359375,-6.9765625,-6.21484375
18,-5.9765625,-6.87890625,-8.2421875,-7.63671875,-8.1796875,-6.7109375
19,-6.46484375,-6.1015625,-4.01953125,-5.796875,-6.90234375,-6.8359375
