,agent0_orangutan,agent1_orangutan,agent2_orangutan,agent3_orangutan,agent4_orangutan,agent5_orangutan
0,-7.421875,-5.7265625,-4.6953125,-6.55859375,-6.70703125,-6.33203125
1,-7.19140625,-6.96875,-5.53125,-4.9765625,-2.11328125,-1.81640625
2,-7.50390625,-5.6953125,-5.6484375,-6.25,-6.40625,-7.02734375
3,-7.74609375,-6.73828125,-7.6953125,-7.77734375,-7.7890625,-7.13671875
4,-6.92578125,-6.56640625,-5.3671875,-6.9921875,-6.33203125,-6.69921875
5,-7.19921875,-6.7578125,-8.1796875,-8.375,-8.4765625,-8.2265625
6,-6.8828125,-7.9609375,-8.53125,-8.2734375,-6.8515625,-7.54296875
7,-6.76953125,-6.29296875,-4.66796875,-5.95703125,-6.37890625,-6.3046875
8,-8.4296875,-6.65234375,-7.25,-5.9921875,-7.0,-6.17578125
9,-7.3046875,-6.11328125,-6.99609375,-5.953125,-6.05078125,-7.0859375
10,-6.6015625,-6.26953125,-5.953125,-6.19140625,-6.390625,-7.0859375
11,-7.41015625,-6.609375,-7.19921875,-7.32421875,-7.796875,-8.046875
12,-8.0625,-6.4453125,-6.8203125,-7.89453125,-9.0234375,-8.765625
13,-7.703125,-6.796875,-8.40625,-7.203125,-6.0390625,-6.0078125
14,-7.73046875,-6.9140625,-5.87890625,-6.78125,-6.1640625,-6.91796875
15,-6.80078125,-6.6875,-6.6953125,-6.25,-6.91796875,-6.80078125
16,-6.87109375,-5.78515625,-5.7890625,-4.51171875,-5.6640625,-6.6015625
17,-6.82421875,-5.41796875,-5.91015625,-6.1640625,-6.16796875,-6.49609375
18,-7.296875,-5.72265625,-6.01171875,-5.98828125,-5.9921875,-6.7265625
19,-6.890625,-6.5859375,-6.45703125,-7.6953125,-7.5703125,-7.7421875
