,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-5.3359375,-4.6875,-5.4140625,-6.1640625,-5.515625,-6.6171875
1,-4.55078125,-5.33984375,-5.921875,-5.98828125,-5.19921875,-6.9453125
2,-3.861328125,-4.91015625,-6.45703125,-6.64453125,-5.77734375,-5.859375
3,-5.09375,-5.9453125,-6.86328125,-6.54296875,-6.91796875,-7.2734375
4,-3.236328125,-6.3828125,-6.55078125,-6.80078125,-6.9296875,-7.41015625
5,-4.8984375,-6.23828125,-5.87109375,-6.171875,-6.7421875,-7.296875
6,-4.4296875,-6.97265625,-6.8515625,-6.79296875,-6.921875,-6.9609375
7,-4.6171875,-5.86328125,-6.34765625,-6.73046875,-6.71875,-6.56640625
8,-4.94921875,-6.34375,-6.7578125,-6.8203125,-6.640625,-6.82421875
9,-3.322265625,-6.484375,-6.87109375,-6.91015625,-6.99609375,-6.7421875
10,-4.7421875,-5.5078125,-4.62890625,-6.84765625,-6.5625,-5.80078125
11,-4.44921875,-4.55859375,-4.890625,-5.43359375,-6.3046875,-6.28125
12,-3.451171875,-5.765625,-6.2734375,-6.96875,-6.78125,-7.578125
13,-5.40625,-6.234375,-6.33984375,-6.08984375,-5.81640625,-6.15625
14,-4.29296875,-5.703125,-5.37890625,-6.3828125,-5.6328125,-6.47265625
15,-4.94140625,-5.6875,-5.484375,-6.02734375,-6.6640625,-6.140625
16,-5.078125,-5.52734375,-5.41796875,-5.609375,-6.1640625,-6.2265625
17,-5.18359375,-5.51171875,-5.9609375,-6.3984375,-6.44921875,-7.1953125
18,-6.96875,-7.9375,-7.734375,-7.7734375,-7.8203125,-7.70703125
19,-4.25,-5.33203125,-5.87109375,-6.46484375,-6.23828125,-6.25
