,agent0_panda,agent1_panda,agent2_panda,agent3_panda,agent4_panda,agent5_panda
0,-2.220703125,-4.53125,-4.76953125,-6.140625,-6.9375,-7.98046875
1,-2.140625,-3.09375,-5.0859375,-5.828125,-6.0546875,-5.93359375
2,-1.6640625,-5.0703125,-5.95703125,-5.95703125,-5.95703125,-5.68359375
3,-1.72265625,-4.33203125,-4.109375,-5.37890625,-6.06640625,-2.73046875
4,-2.75390625,-2.04296875,-4.97265625,-6.50390625,-6.19140625,-6.5078125
5,-2.71484375,-4.14453125,-5.42578125,-5.3671875,-4.7421875,-5.48828125
6,-1.5810546875,-3.70703125,-4.05078125,-4.875,-4.6875,-5.72265625
7,-3.095703125,-6.671875,-7.2421875,-7.2421875,-7.2421875,-7.359375
8,-2.580078125,-3.705078125,-4.21875,-6.68359375,-7.3515625,-8.109375
9,-2.00390625,-4.16796875,-3.978515625,-6.890625,-6.9375,-7.20703125
10,-3.30078125,-3.63671875,-1.4091796875,-3.3828125,-5.26171875,-3.376953125
11,-2.294921875,-2.912109375,-4.96484375,-6.5703125,-5.73828125,-6.88671875
12,-2.21875,-3.056640625,-4.42578125,-6.6640625,-6.6640625,-6.9921875
13,-2.56640625,-1.03125,-4.9375,-4.03515625,-6.3125,-6.66015625
14,-4.1328125,-3.072265625,-3.40625,-2.59765625,-4.4765625,-6.48046875
15,-1.341796875,-4.8125,-3.38671875,-5.4296875,-5.4296875,-5.83984375
16,-1.7001953125,-4.42578125,-3.4453125,-6.90625,-7.125,-5.90234375
17,-1.02734375,-4.26953125,-5.2734375,-5.3515625,-5.21484375,-4.953125
18,-3.302734375,-4.26953125,-5.63671875,-5.58203125,-5.7578125,-5.63671875
19,-2.0,-3.884765625,-5.796875,-9.3984375,-8.640625,-9.3828125
