,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-1.166015625,-4.671875,-4.14453125,-3.53125,-8.34375,-8.3828125
1,-1.3642578125,-4.2734375,-5.69921875,-9.5703125,-9.2578125,-9.5390625
2,-1.6357421875,-4.83203125,-4.2421875,-7.83203125,-7.85546875,-8.390625
3,-1.1181640625,-5.17578125,-6.0078125,-7.76953125,-9.75,-8.40625
4,-1.2265625,-4.05859375,-2.771484375,-6.20703125,-8.2734375,-7.37109375
5,-1.26953125,-4.1875,-5.48046875,-5.26953125,-5.94140625,-6.921875
6,-1.1845703125,-4.06640625,-7.875,-10.0625,-9.4453125,-8.734375
7,-1.6943359375,-5.69921875,-8.4921875,-8.40625,-8.3359375,-7.71875
8,-1.798828125,-5.27734375,-7.5390625,-7.58984375,-6.1953125,-3.150390625
9,-1.5283203125,-4.1171875,-6.0234375,-8.0625,-9.2578125,-9.078125
10,-1.7744140625,-2.953125,-7.82421875,-8.578125,-9.0859375,-7.5234375
11,-1.328125,-4.34375,-5.02734375,-8.125,-8.6875,-8.71875
12,-1.71875,-2.927734375,-5.16796875,-7.59765625,-6.55859375,-8.78125
13,-2.0625,-8.3359375,-7.41796875,-7.72265625,-7.05078125,-5.796875
14,-1.6591796875,-6.80078125,-6.5390625,-10.2578125,-11.4921875,-10.671875
15,-0.84619140625,-4.37890625,-5.6015625,-6.9296875,-7.9453125,-7.9140625
16,-1.3173828125,-2.197265625,-5.19140625,-6.65234375,-6.375,-5.734375
17,-1.2001953125,-3.95703125,-3.083984375,-8.6796875,-10.21875,-10.3515625
18,-1.5712890625,-5.078125,-4.7265625,-5.25390625,-7.7265625,-8.9140625
19,-1.0791015625,-4.21875,-7.15234375,-3.291015625,-5.2578125,-8.0546875
