,agent0_penguin,agent1_penguin,agent2_penguin,agent3_penguin,agent4_penguin,agent5_penguin
0,-2.568359375,-3.28515625,-4.73828125,-4.98046875,-10.2109375,-9.203125
1,-0.8203125,-8.1796875,-9.0625,-9.265625,-9.3671875,-7.05078125
2,-1.64453125,-5.6328125,-6.68359375,-11.5,-11.140625,-9.0703125
3,-1.978515625,-4.4765625,-9.0078125,-9.0078125,-8.734375,-7.15234375
4,-2.322265625,-2.15625,-3.109375,-0.9013671875,-1.7041015625,-2.287109375
5,-1.291015625,-4.03125,-9.9375,-9.4375,-9.2578125,-9.96875
6,-1.3037109375,-3.23828125,-4.74609375,-6.6328125,-5.234375,-6.03125
7,-1.4443359375,-8.6640625,-9.25,-8.9296875,-9.03125,-9.390625
8,-1.1318359375,-6.3125,-9.640625,-7.89453125,-9.296875,-7.19921875
9,-2.248046875,-4.83203125,-6.18359375,-6.48046875,-7.84765625,-6.94921875
10,-1.4130859375,-5.8984375,-8.8203125,-9.7421875,-9.484375,-8.4375
11,-1.2275390625,-5.77734375,-7.578125,-8.734375,-8.3046875,-6.74609375
12,-1.7900390625,-3.779296875,-8.109375,-8.6328125,-9.0546875,-8.125
13,-1.6748046875,-2.18359375,-3.029296875,-4.42578125,-4.58984375,-7.88671875
14,-1.76953125,-5.63671875,-7.55078125,-7.3046875,-7.4140625,-6.3203125
15,-1.7421875,-3.775390625,-4.48828125,-7.66796875,-9.734375,-8.515625
16,-3.5625,-5.18359375,-8.2421875,-9.7734375,-10.5,-8.3984375
17,-1.24609375,-4.70703125,-5.8828125,-5.31640625,-7.96484375,-6.171875
18,-1.826171875,-7.95703125,-9.2578125,-9.046875,-9.8828125,-8.828125
19,-1.5048828125,-2.794921875,-6.74609375,-7.29296875,-7.6328125,-7.79296875
