,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-2.630859375,-4.2578125,-5.1875,-6.484375,-3.013671875,-1.9892578125,-0.97607421875,-7.3984375,-5.3046875,-8.140625,-1.6357421875,-1.0419921875,-5.16796875,-7.20703125,-4.31640625,-4.1796875,-1.6044921875,-5.41015625,-3.96484375,-6.26171875,-1.6728515625,-0.34423828125,-5.8046875,-7.609375,-7.078125,-7.9296875,-4.28125,-6.1953125,-6.921875,-7.4921875,-2.06640625,-0.26904296875,-6.02734375,-6.92578125,-7.68359375,-8.8359375,-4.43359375,-5.76953125,-7.40234375,-6.30078125,-1.57421875,-0.41796875,-6.10546875,-6.79296875,-7.59765625,-8.8671875,-4.05078125,-5.88671875,-7.80859375,-5.62890625,-2.26953125,-0.223388671875,-6.90234375,-7.73046875,-7.87109375,-9.09375,-4.76953125,-6.78515625,-8.3203125,-6.66796875
1,-3.298828125,-5.0,-5.2265625,-6.2890625,-2.853515625,-2.294921875,-0.66650390625,-7.3046875,-5.0859375,-8.1015625,-2.61328125,-2.46484375,-4.58203125,-6.43359375,-3.58984375,-4.34375,-0.61328125,-5.59765625,-4.80859375,-6.47265625,-2.595703125,-0.33056640625,-5.33984375,-6.95703125,-4.98828125,-6.671875,-2.564453125,-5.63671875,-5.20703125,-5.65234375,-3.123046875,-0.1533203125,-6.83203125,-8.28125,-6.91015625,-9.375,-3.560546875,-6.36328125,-7.37109375,-6.12890625,-3.123046875,-0.1533203125,-6.83203125,-8.28125,-6.91015625,-9.375,-3.560546875,-6.36328125,-7.37109375,-6.12890625,-3.029296875,-0.231689453125,-5.94921875,-7.80078125,-6.13671875,-7.734375,-3.029296875,-6.39453125,-6.32421875,-6.26953125
2,-3.080078125,-4.2421875,-5.34375,-6.6015625,-2.712890625,-2.65625,-0.90771484375,-7.296875,-5.0,-7.8828125,-1.8720703125,-1.4033203125,-4.81640625,-7.55859375,-4.10546875,-4.1875,-1.3720703125,-6.16796875,-4.71484375,-7.07421875,-1.8916015625,-0.328857421875,-6.2578125,-8.1640625,-7.0078125,-8.03125,-3.7421875,-5.9921875,-7.21875,-6.96875,-2.33203125,-0.1923828125,-6.74609375,-7.91796875,-7.87890625,-10.3828125,-4.26171875,-6.41015625,-7.82421875,-6.54296875,-2.9140625,-0.147705078125,-7.3828125,-8.75,-8.46875,-10.890625,-5.15625,-6.9921875,-8.5546875,-7.078125,-2.591796875,-0.185546875,-7.57421875,-8.296875,-8.46875,-10.375,-5.12890625,-6.91796875,-8.734375,-7.33203125
3,-2.701171875,-4.2265625,-4.59375,-6.109375,-2.888671875,-1.9775390625,-0.6865234375,-7.1796875,-5.0,-8.296875,-2.2265625,-3.2109375,-5.328125,-6.6875,-4.5390625,-4.96484375,-0.4306640625,-6.3671875,-5.265625,-6.8671875,-2.302734375,-2.271484375,-4.56640625,-6.80078125,-4.49609375,-5.29296875,-0.7705078125,-5.76953125,-4.23046875,-5.82421875,-2.50390625,-0.206298828125,-6.56640625,-7.62890625,-8.2890625,-9.9140625,-4.75390625,-6.51953125,-8.2421875,-6.65234375,-2.82421875,-0.1514892578125,-7.49609375,-8.2890625,-8.9921875,-11.390625,-5.45703125,-7.00390625,-9.3515625,-7.05078125,-1.953125,-0.250244140625,-7.1640625,-7.4296875,-9.078125,-11.6328125,-4.8984375,-6.8515625,-8.78125,-6.7265625
4,-2.45703125,-3.71484375,-4.82421875,-6.08984375,-2.87109375,-2.103515625,-0.8095703125,-6.98828125,-5.03515625,-7.55078125,-1.41015625,-1.76953125,-5.12109375,-6.89453125,-3.83203125,-4.0390625,-0.86328125,-5.98828125,-5.05078125,-6.91015625,-2.580078125,-0.2978515625,-5.6171875,-6.4296875,-4.7578125,-7.1796875,-3.017578125,-6.34375,-5.53125,-7.5,-1.861328125,-0.283203125,-6.09765625,-6.01953125,-6.67578125,-8.828125,-3.986328125,-6.91796875,-7.40234375,-7.67578125,-1.4580078125,-0.62939453125,-5.15234375,-6.15234375,-6.08984375,-8.484375,-3.33203125,-5.89453125,-5.85546875,-6.98046875,-2.078125,-0.4228515625,-6.2265625,-6.859375,-6.8203125,-9.1640625,-3.71875,-6.1953125,-6.8359375,-7.6328125
5,-3.8984375,-5.0625,-5.109375,-6.453125,-2.546875,-1.865234375,-1.064453125,-7.296875,-4.7734375,-8.5546875,-2.435546875,-0.356689453125,-5.27734375,-7.41015625,-5.24609375,-6.05859375,-2.974609375,-5.97265625,-5.58203125,-6.73828125,-2.912109375,-0.5986328125,-5.98828125,-7.78515625,-5.38671875,-6.3203125,-4.22265625,-6.79296875,-5.81640625,-7.56640625,-3.365234375,-0.5517578125,-5.08984375,-8.9375,-4.65234375,-5.7734375,-4.37109375,-7.48046875,-4.94140625,-9.078125,-2.33203125,-0.254150390625,-5.53515625,-8.2421875,-6.30078125,-7.96484375,-3.86328125,-6.95703125,-5.48828125,-7.37890625,-2.568359375,-0.1923828125,-5.50390625,-8.6484375,-6.33984375,-6.734375,-4.46484375,-6.51171875,-5.97265625,-8.1171875
6,-3.9921875,-5.2109375,-6.1171875,-6.6796875,-3.5234375,-2.826171875,-0.476806640625,-7.3359375,-5.3984375,-6.7265625,-3.37109375,-1.1279296875,-6.22265625,-7.22265625,-5.94921875,-7.7890625,-2.87109375,-6.41015625,-5.72265625,-5.01953125,-3.12890625,-0.53466796875,-6.87890625,-7.76171875,-7.19921875,-9.34375,-3.60546875,-6.52734375,-7.28515625,-5.60546875,-2.7890625,-0.46142578125,-6.9453125,-8.0859375,-7.6484375,-9.53125,-4.2265625,-6.765625,-7.578125,-5.84375,-2.78125,-0.5,-6.8984375,-8.0078125,-7.6328125,-9.53125,-4.171875,-6.7265625,-7.5234375,-5.78125,-2.552734375,-0.6630859375,-6.90625,-7.6875,-7.2734375,-8.96875,-3.873046875,-6.703125,-7.203125,-6.2421875
7,-3.380859375,-4.421875,-5.921875,-7.0859375,-2.802734375,-2.603515625,-0.7880859375,-7.1875,-5.0625,-7.8359375,-2.732421875,-1.7861328125,-5.76171875,-7.66015625,-5.48046875,-7.046875,-2.076171875,-6.25390625,-4.59765625,-5.48046875,-2.521484375,-0.53759765625,-6.421875,-8.015625,-6.765625,-8.8828125,-3.404296875,-6.6328125,-6.6640625,-6.1640625,-2.7109375,-0.63232421875,-6.4296875,-8.0859375,-6.6640625,-8.734375,-3.265625,-6.671875,-6.515625,-6.1015625,-2.708984375,-0.63037109375,-6.43359375,-8.09375,-6.68359375,-8.7890625,-3.279296875,-6.66796875,-6.52734375,-6.10546875,-2.60546875,-0.85595703125,-6.62109375,-8.0546875,-7.00390625,-8.4453125,-3.68359375,-6.78515625,-6.58203125,-6.32421875
8,-3.0078125,-4.515625,-5.65625,-6.921875,-3.265625,-2.865234375,-1.3115234375,-7.546875,-5.26953125,-8.328125,-2.361328125,-1.8603515625,-5.6015625,-7.078125,-5.6015625,-6.22265625,-0.65771484375,-5.5078125,-5.2265625,-5.8828125,-5.80859375,-3.767578125,-7.79296875,-9.546875,-6.45703125,-9.640625,-2.220703125,-8.4296875,-5.67578125,-5.48046875,-4.11328125,-1.6748046875,-7.95703125,-9.0078125,-7.39453125,-10.203125,-3.376953125,-7.73046875,-7.02734375,-5.73828125,-4.11328125,-1.6748046875,-7.95703125,-9.0078125,-7.39453125,-10.203125,-3.376953125,-7.73046875,-7.02734375,-5.73828125,-4.15234375,-1.7529296875,-7.83984375,-9.1953125,-7.29296875,-9.171875,-3.75390625,-7.91015625,-6.79296875,-6.66015625
9,-2.3515625,-4.328125,-5.40625,-6.4765625,-3.1484375,-2.4765625,-0.66455078125,-7.1171875,-5.2578125,-7.59375,-1.185546875,-1.294921875,-5.60546875,-6.64453125,-4.73046875,-6.1875,-1.529296875,-5.77734375,-5.10546875,-6.12890625,-1.56640625,-1.25390625,-5.47265625,-6.70703125,-4.55078125,-5.28515625,-1.25390625,-6.20703125,-5.14453125,-5.92578125,-2.541015625,-0.6826171875,-6.58203125,-7.55859375,-6.63671875,-7.8515625,-3.408203125,-6.26171875,-6.55078125,-5.72265625,-2.849609375,-1.662109375,-6.47265625,-7.37109375,-7.28515625,-8.5703125,-3.083984375,-6.27734375,-6.56640625,-4.79296875,-2.49609375,-0.80859375,-6.25390625,-7.37890625,-7.14453125,-8.2734375,-3.58203125,-6.51953125,-6.80078125,-5.91796875
