,agent0_elephant,agent0_dolphin,agent0_panda,agent0_lion,agent0_kangaroo,agent0_penguin,agent0_giraffe,agent0_chimpanzee,agent0_koala,agent0_orangutan,agent1_elephant,agent1_dolphin,agent1_panda,agent1_lion,agent1_kangaroo,agent1_penguin,agent1_giraffe,agent1_chimpanzee,agent1_koala,agent1_orangutan,agent2_elephant,agent2_dolphin,agent2_panda,agent2_lion,agent2_kangaroo,agent2_penguin,agent2_giraffe,agent2_chimpanzee,agent2_koala,agent2_orangutan,agent3_elephant,agent3_dolphin,agent3_panda,agent3_lion,agent3_kangaroo,agent3_penguin,agent3_giraffe,agent3_chimpanzee,agent3_koala,agent3_orangutan,agent4_elephant,agent4_dolphin,agent4_panda,agent4_lion,agent4_kangaroo,agent4_penguin,agent4_giraffe,agent4_chimpanzee,agent4_koala,agent4_orangutan,agent5_elephant,agent5_dolphin,agent5_panda,agent5_lion,agent5_kangaroo,agent5_penguin,agent5_giraffe,agent5_chimpanzee,agent5_koala,agent5_orangutan
0,-1.7998046875,-1.7841796875,-6.41015625,-7.16796875,-3.03515625,-3.291015625,-0.80029296875,-7.37109375,-6.26953125,-8.4375,-2.876953125,-1.751953125,-6.0703125,-7.3828125,-4.375,-5.62890625,-0.470703125,-6.1015625,-5.1875,-6.53125,-2.275390625,-1.7431640625,-7.078125,-7.28125,-6.140625,-7.36328125,-0.6337890625,-6.265625,-6.609375,-5.875,-2.552734375,-0.5048828125,-6.73046875,-7.36328125,-6.79296875,-8.9921875,-3.646484375,-6.50390625,-6.97265625,-6.49609375,-2.6953125,-0.2413330078125,-6.703125,-7.59375,-7.28125,-9.78125,-4.21875,-6.53125,-7.8828125,-6.8359375,-2.49609375,-0.82470703125,-6.58203125,-7.18359375,-6.73828125,-8.0703125,-3.44140625,-6.30078125,-6.68359375,-5.50390625
1,-1.107421875,-1.826171875,-6.4609375,-6.3828125,-3.857421875,-3.1484375,-1.169921875,-7.546875,-6.7734375,-8.8359375,-1.3544921875,-1.4638671875,-5.89453125,-7.01953125,-4.6015625,-4.875,-0.84326171875,-6.71875,-5.953125,-7.296875,-1.6318359375,-1.6318359375,-5.2890625,-6.2890625,-4.5078125,-5.7265625,-0.66357421875,-6.0625,-5.953125,-6.234375,-2.091796875,-0.248046875,-6.48046875,-7.04296875,-7.14453125,-9.3984375,-4.57421875,-6.12109375,-8.2109375,-7.41796875,-1.8056640625,-0.29052734375,-6.015625,-6.390625,-6.75,-9.5,-4.3203125,-6.109375,-7.765625,-8.0,-2.501953125,-0.20458984375,-6.3359375,-7.125,-7.375,-9.6640625,-4.25,-6.65625,-7.8203125,-7.625
2,-2.91015625,-1.80859375,-7.29296875,-6.91796875,-3.67578125,-4.0546875,-0.62158203125,-7.53515625,-6.39453125,-7.94921875,-2.333984375,-1.5673828125,-6.91015625,-6.87890625,-5.37109375,-6.140625,-0.80224609375,-6.45703125,-6.20703125,-5.73046875,-2.078125,-0.59375,-6.5,-6.9375,-6.265625,-6.75390625,-2.0,-5.9375,-6.3046875,-6.4453125,-2.318359375,-0.30224609375,-6.34765625,-7.63671875,-7.28515625,-9.1015625,-4.24609375,-6.16015625,-7.51171875,-6.59765625,-2.572265625,-0.30712890625,-6.57421875,-7.90234375,-7.43359375,-9.5546875,-4.48828125,-6.54296875,-7.81640625,-6.75390625,-2.73046875,-0.76123046875,-6.87109375,-7.73828125,-7.56640625,-8.125,-3.76953125,-6.60546875,-7.13671875,-5.87890625
3,-0.9892578125,-1.8017578125,-6.01953125,-6.05078125,-3.22265625,-2.576171875,-1.3955078125,-7.82421875,-6.33203125,-9.4140625,-1.6181640625,-0.88427734375,-5.921875,-7.921875,-5.0625,-5.71875,-1.1962890625,-6.390625,-6.203125,-7.734375,-2.705078125,-0.1903076171875,-4.92578125,-8.7421875,-5.25390625,-7.42578125,-3.884765625,-6.69140625,-6.31640625,-8.8359375,-2.71875,-0.1871337890625,-5.0078125,-8.7578125,-5.2890625,-7.1640625,-4.125,-6.90625,-6.3515625,-9.0703125,-2.412109375,-0.209716796875,-5.6171875,-8.390625,-4.7734375,-8.0078125,-3.287109375,-6.875,-5.75,-8.09375,-1.6845703125,-0.2626953125,-7.20703125,-7.75390625,-6.45703125,-9.9140625,-4.13671875,-6.77734375,-7.87890625,-8.65625
4,-1.4150390625,-1.5087890625,-7.7734375,-5.8671875,-4.53515625,-4.48828125,-1.373046875,-7.55859375,-7.94921875,-9.4609375,-1.2021484375,-0.68603515625,-6.265625,-6.734375,-6.234375,-7.73828125,-2.888671875,-6.0078125,-6.90625,-6.921875,-1.015625,-1.25,-6.1015625,-5.7734375,-6.2734375,-6.56640625,-2.171875,-5.5859375,-6.6328125,-6.0703125,-2.55078125,-0.254150390625,-6.93359375,-8.0078125,-7.59765625,-9.484375,-4.41796875,-6.30078125,-8.0390625,-7.26953125,-2.78125,-0.2646484375,-6.2265625,-8.4140625,-7.1171875,-8.671875,-5.1484375,-6.2421875,-8.125,-8.0625,-2.27734375,-0.21533203125,-6.94921875,-7.75390625,-8.28125,-9.5,-5.73828125,-6.38671875,-9.1953125,-7.78515625
5,-1.7001953125,-1.9033203125,-6.30078125,-6.33203125,-3.740234375,-2.666015625,-1.5283203125,-7.48046875,-6.58984375,-9.1640625,-1.2490234375,-2.625,-6.421875,-5.71875,-4.7109375,-5.76171875,-0.85888671875,-5.875,-5.65625,-5.7109375,-1.634765625,-2.275390625,-6.41015625,-6.27734375,-5.97265625,-5.8203125,-0.556640625,-6.24609375,-6.56640625,-6.30859375,-1.1455078125,-1.0205078125,-7.20703125,-6.44140625,-7.44140625,-7.6171875,-1.7861328125,-5.77734375,-7.26953125,-6.21484375,-1.212890625,-0.978515625,-6.25,-4.6953125,-7.6953125,-7.62109375,-2.322265625,-5.1953125,-6.734375,-6.375,-1.484375,-0.625,-6.5078125,-5.5390625,-8.046875,-8.9453125,-4.2109375,-5.6953125,-7.03125,-5.421875
6,-1.263671875,-1.873046875,-6.72265625,-6.46484375,-4.31640625,-3.83984375,-0.82666015625,-7.37890625,-7.65234375,-9.2109375,-1.4609375,-0.92919921875,-6.1796875,-7.3359375,-4.9375,-6.9140625,-1.4453125,-6.203125,-5.5546875,-6.765625,-1.1318359375,-1.0849609375,-6.78125,-7.3125,-6.1796875,-8.171875,-2.3046875,-5.921875,-6.265625,-5.734375,-1.6865234375,-0.498779296875,-6.5234375,-7.2578125,-6.9609375,-9.40625,-3.787109375,-6.015625,-6.9375,-6.3515625,-2.283203125,-0.268310546875,-7.12890625,-8.109375,-7.56640625,-9.8828125,-4.37890625,-6.65234375,-7.76953125,-6.97265625,-2.03515625,-0.347412109375,-6.65234375,-7.28515625,-7.25390625,-8.75,-4.11328125,-7.08203125,-6.98828125,-7.14453125
7,-1.2451171875,-1.7294921875,-6.88671875,-6.46484375,-3.98046875,-3.529296875,-1.2294921875,-7.63671875,-6.94921875,-8.8515625,-2.388671875,-1.6064453125,-6.05078125,-7.14453125,-5.15234375,-5.0859375,-0.497314453125,-6.56640625,-5.74609375,-7.01171875,-2.484375,-1.34375,-4.625,-7.2265625,-4.375,-5.1328125,-0.59326171875,-6.6875,-4.578125,-7.0703125,-2.26953125,-0.254638671875,-6.38671875,-7.74609375,-6.21484375,-8.8984375,-3.45703125,-6.28515625,-6.37109375,-6.78515625,-1.8115234375,-0.3583984375,-6.3203125,-6.734375,-6.8203125,-8.9921875,-3.859375,-5.9453125,-6.9765625,-6.4765625,-2.068359375,-0.81884765625,-6.0078125,-6.875,-6.03125,-7.6953125,-3.185546875,-6.328125,-5.25,-5.34375
8,-1.416015625,-1.791015625,-3.986328125,-6.859375,-3.416015625,-3.271484375,-1.384765625,-7.5546875,-6.0,-8.890625,-1.5,-0.499755859375,-4.171875,-7.0625,-5.6484375,-7.5859375,-2.4375,-6.234375,-5.875,-7.8125,-2.146484375,-0.443603515625,-2.349609375,-7.328125,-6.6484375,-9.109375,-2.755859375,-6.8203125,-7.078125,-8.1171875,-2.990234375,-0.10009765625,-5.1953125,-8.515625,-7.9609375,-11.1171875,-4.9453125,-8.1015625,-9.0390625,-9.5,-3.21484375,-0.10595703125,-8.4453125,-8.8125,-9.7578125,-11.765625,-7.23828125,-7.98828125,-10.65625,-10.078125,-3.287109375,-0.1002197265625,-7.1015625,-8.265625,-8.4375,-11.2421875,-5.65625,-7.3359375,-9.3359375,-9.09375
9,-2.126953125,-2.251953125,-5.8828125,-7.0,-3.041015625,-2.791015625,-1.423828125,-7.734375,-6.0234375,-9.03125,-2.0,-1.640625,-4.5390625,-7.6953125,-3.9296875,-5.19140625,-0.57763671875,-6.65625,-5.0859375,-8.328125,-2.173828125,-1.5166015625,-4.5234375,-7.671875,-3.697265625,-4.87890625,-0.73583984375,-6.3671875,-4.6640625,-7.765625,-2.462890625,-1.6669921875,-4.18359375,-7.78515625,-3.345703125,-4.390625,-0.8076171875,-6.16015625,-4.46484375,-7.38671875,-3.353515625,-2.962890625,-5.18359375,-9.2890625,-3.556640625,-4.15625,-0.94775390625,-7.04296875,-4.62109375,-7.84765625,-2.83984375,-2.66796875,-5.11328125,-8.953125,-3.65234375,-2.09375,-0.81640625,-6.72265625,-3.51953125,-7.53515625
10,-2.6953125,-1.9287109375,-7.1171875,-6.859375,-3.8984375,-3.55078125,-0.9921875,-7.546875,-6.75,-8.6328125,-2.126953125,-0.3603515625,-7.0390625,-8.453125,-6.1015625,-7.62890625,-2.314453125,-7.53125,-6.3203125,-7.078125,-2.75390625,-0.3642578125,-7.84765625,-7.83203125,-8.453125,-10.96875,-4.04296875,-7.26953125,-7.48828125,-5.83984375,-2.68359375,-0.2305908203125,-7.44921875,-8.3359375,-7.91796875,-11.1171875,-4.10546875,-6.97265625,-7.91015625,-6.55078125,-2.1484375,-0.27392578125,-6.7578125,-7.7734375,-7.703125,-10.5078125,-4.1875,-6.6015625,-7.53125,-6.515625,-2.4609375,-0.3828125,-6.5,-7.734375,-7.6796875,-8.3359375,-4.4140625,-6.6171875,-7.046875,-6.1328125
11,-1.5478515625,-1.3603515625,-6.5859375,-6.4296875,-3.71875,-3.49609375,-1.3291015625,-7.2421875,-6.3203125,-8.203125,-1.7666015625,-0.3603515625,-5.9296875,-8.5390625,-5.46875,-6.0390625,-3.4765625,-7.3125,-5.3984375,-7.5390625,-2.111328125,-0.29931640625,-6.13671875,-7.89453125,-7.53515625,-8.953125,-3.521484375,-5.95703125,-7.65234375,-7.07421875,-2.2734375,-0.2266845703125,-5.9140625,-7.1328125,-7.4296875,-8.3515625,-4.3203125,-5.546875,-8.046875,-7.515625,-2.427734375,-0.208251953125,-6.60546875,-7.83203125,-7.87890625,-9.390625,-4.75390625,-6.33984375,-8.171875,-7.39453125,-2.373046875,-0.2486572265625,-6.265625,-7.8203125,-7.3515625,-7.21875,-4.6015625,-6.234375,-7.6875,-7.2734375
12,-2.20703125,-1.56640625,-6.32421875,-6.65234375,-3.04296875,-3.79296875,-1.33203125,-7.58203125,-5.41015625,-8.5703125,-1.568359375,-0.646484375,-5.8046875,-8.0,-4.7890625,-6.27734375,-2.162109375,-6.2265625,-4.7109375,-7.6171875,-2.42578125,-0.270263671875,-6.60546875,-8.265625,-7.08984375,-9.53125,-3.70703125,-6.60546875,-7.08203125,-6.83984375,-2.3984375,-0.24267578125,-6.65625,-8.390625,-7.1484375,-9.6484375,-3.796875,-6.6875,-7.3125,-6.9375,-2.4609375,-0.242919921875,-6.828125,-8.5078125,-7.40625,-9.7109375,-4.046875,-6.7734375,-7.4609375,-6.90625,-2.45703125,-0.44140625,-6.59765625,-7.87890625,-6.90234375,-7.9453125,-3.45703125,-6.60546875,-6.65234375,-6.44921875
13,-1.9111328125,-1.6298828125,-6.62890625,-6.39453125,-3.583984375,-4.00390625,-0.896484375,-7.51171875,-6.44140625,-8.7890625,-1.7724609375,-0.6943359375,-6.640625,-7.5078125,-5.8671875,-6.41015625,-2.3046875,-6.609375,-6.1484375,-6.9609375,-0.955078125,-0.892578125,-6.75390625,-6.94140625,-5.87109375,-6.65234375,-2.189453125,-6.35546875,-6.85546875,-6.65234375,-1.75,-0.422119140625,-6.6875,-7.3203125,-6.671875,-9.359375,-3.734375,-6.53125,-6.4375,-6.7109375,-1.9921875,-0.366943359375,-6.609375,-7.5625,-6.96875,-9.671875,-3.9140625,-6.359375,-7.015625,-6.9453125,-2.1015625,-0.414794921875,-5.9765625,-7.0859375,-6.21875,-8.4375,-3.390625,-6.453125,-5.96875,-6.59375
14,-2.232421875,-1.7939453125,-6.44140625,-7.05859375,-3.544921875,-2.935546875,-1.1689453125,-7.24609375,-5.79296875,-8.375,-1.2392578125,-1.0361328125,-5.23046875,-7.76953125,-4.93359375,-4.96484375,-1.6142578125,-6.17578125,-4.87109375,-6.69921875,-2.814453125,-1.189453125,-6.63671875,-7.79296875,-6.38671875,-8.46875,-2.814453125,-6.39453125,-5.76171875,-6.44140625,-2.6875,-1.0,-6.171875,-7.609375,-5.9140625,-8.8046875,-2.3125,-6.390625,-5.7109375,-6.3828125,-2.861328125,-0.54833984375,-6.265625,-7.640625,-6.7578125,-9.5703125,-3.455078125,-6.4453125,-6.6171875,-6.5859375,-3.1328125,-0.6962890625,-6.390625,-8.0703125,-6.53125,-8.59375,-3.3203125,-6.796875,-6.4921875,-6.4921875
15,-1.5673828125,-1.9423828125,-6.33203125,-5.83984375,-3.75390625,-3.3359375,-0.7861328125,-7.43359375,-6.41796875,-9.0,-1.6318359375,-1.9443359375,-5.4453125,-7.125,-4.7734375,-4.55859375,-0.64697265625,-6.234375,-5.4921875,-7.1875,-1.1171875,-1.3984375,-7.078125,-7.1640625,-6.8359375,-7.43359375,-1.9765625,-6.2890625,-6.4375,-6.34375,-1.5859375,-0.72705078125,-6.3046875,-6.734375,-6.4375,-8.8671875,-2.9140625,-6.25,-5.953125,-6.203125,-1.671875,-0.390869140625,-6.359375,-6.8671875,-6.96875,-9.9453125,-3.8671875,-6.046875,-7.46875,-6.96875,-2.04296875,-0.340087890625,-5.70703125,-6.75390625,-6.1640625,-6.140625,-4.7734375,-6.296875,-6.5703125,-7.59375
