elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
11,432,798,300,233,273,377,419,289,350,950
110,528,119,613,246,514,799,420,676,228,443
131,153,626,911,266,412,749,555,451,243,859
216,444,114,777,202,676,197,126,998,216,483
648,912,233,351,22,503,549,105,233,189,44
840,434,998,612,201,54,719,50,266,819,302
125,222,169,7,213,585,794,500,246,978,588
138,108,98,187,626,617,379,69,366,983,559
891,433,618,577,219,516,497,66,469,629,465
813,468,469,575,222,366,395,198,502,683,885
