behavior,emotion_variant,n,pearson_r,spearman_r,anchor_type
ALL,ALL,36000,0.28210277894237584,0.23190381380753408,
backtrack,love_light,1000,,,bottom
backtrack,love_light,1000,,,random
backtrack,love_light,1000,,,top
backtrack,love_medium,1000,,,bottom
backtrack,love_medium,1000,,,random
backtrack,love_medium,1000,,,top
backtrack,love_strong,1000,,,bottom
backtrack,love_strong,1000,,,random
backtrack,love_strong,1000,,,top
backtrack,neutral,1000,,,bottom
backtrack,neutral,1000,,,random
backtrack,neutral,1000,,,top
plain,love_light,1000,,,bottom
plain,love_light,1000,,,random
plain,love_light,1000,,,top
plain,love_medium,1000,,,bottom
plain,love_medium,1000,,,random
plain,love_medium,1000,,,top
plain,love_strong,1000,,,bottom
plain,love_strong,1000,,,random
plain,love_strong,1000,,,top
plain,neutral,1000,,,bottom
plain,neutral,1000,,,random
plain,neutral,1000,,,top
recap,love_light,1000,,,bottom
recap,love_light,1000,,,random
recap,love_light,1000,,,top
recap,love_medium,1000,,,bottom
recap,love_medium,1000,,,random
recap,love_medium,1000,,,top
recap,love_strong,1000,,,bottom
recap,love_strong,1000,,,random
recap,love_strong,1000,,,top
recap,neutral,1000,,,bottom
recap,neutral,1000,,,random
recap,neutral,1000,,,top
