behavior,emotion_variant,anchor_type,n,mean_delta_anchor_vs_base,mean_delta_random_vs_base,mean_delta_anchor_vs_random,share_anchor_gt_random
recap,love_strong,top,1000,1.2484311170578002,0.9821358776092529,0.2662952394485474,0.791
recap,love_medium,top,1000,1.2319865007400512,0.9687263326644897,0.2632601680755615,0.767
backtrack,love_strong,top,1000,1.249290533542633,1.0247150583267213,0.22457547521591187,0.784
recap,love_light,top,1000,0.8667126631736756,0.6968640089035034,0.16984865427017212,0.781
recap,neutral,top,1000,0.4641971802711487,0.33904404163360596,0.12515313863754274,0.891
plain,love_light,bottom,1000,0.7403274874687195,0.6173571181297303,0.12297036933898926,0.77
backtrack,neutral,top,1000,0.303130765914917,0.22226545763015748,0.08086530828475952,0.858
plain,neutral,top,1000,0.34282144832611083,0.27869492864608764,0.0641265196800232,0.764
backtrack,neutral,bottom,1000,0.27490667152404785,0.22342103481292724,0.05148563671112061,0.72
recap,neutral,bottom,1000,0.36816794776916506,0.3388029928207397,0.029364954948425292,0.605
plain,love_medium,bottom,1000,0.9811924090385437,1.0075625386238098,-0.026370129585266112,0.469
backtrack,love_medium,top,1000,1.003394251346588,1.032118257522583,-0.028724006175994875,0.446
backtrack,love_light,top,1000,0.5692294931411743,0.6006202139854431,-0.0313907208442688,0.499
plain,neutral,bottom,1000,0.24436080265045165,0.280582998752594,-0.036222196102142334,0.354
plain,love_strong,top,1000,1.0645432267189026,1.1010804862976074,-0.03653725957870484,0.435
plain,love_light,top,1000,0.5616768221855164,0.6147563090324402,-0.053079486846923825,0.393
plain,neutral,random,1000,0.221530734539032,0.2801131639480591,-0.0585824294090271,0.275
backtrack,neutral,random,1000,0.13352618932724,0.2201108627319336,-0.0865846734046936,0.151
backtrack,love_light,bottom,1000,0.49006862115859984,0.6112198386192321,-0.12115121746063233,0.29
recap,neutral,random,1000,0.2110415439605713,0.3403164052963257,-0.1292748613357544,0.101
recap,love_light,bottom,1000,0.5627852454185486,0.7057143931388855,-0.1429291477203369,0.28
recap,love_strong,bottom,1000,0.8411780304908753,0.9947933592796325,-0.15361532878875733,0.298
plain,love_medium,top,1000,0.8438122181892395,1.00117405128479,-0.15736183309555055,0.249
plain,love_strong,bottom,1000,0.9478630428314209,1.1163353147506714,-0.1684722719192505,0.207
backtrack,love_strong,bottom,1000,0.8413153648376465,1.0299513020515443,-0.1886359372138977,0.269
backtrack,love_medium,bottom,1000,0.7768320856094361,1.0378002014160157,-0.2609681158065796,0.143
plain,love_strong,random,1000,0.8358676543235779,1.0994199185371398,-0.26355226421356204,0.112
recap,love_medium,bottom,1000,0.674030912399292,0.9819026217460632,-0.3078717093467712,0.195
plain,love_medium,random,1000,0.654348352432251,0.9952462167739868,-0.34089786434173586,0.033
plain,love_light,random,1000,0.26619695901870727,0.6109680156707764,-0.3447710566520691,0.013
backtrack,love_light,random,1000,0.23769588708877565,0.5981311612129211,-0.3604352741241455,0.006
backtrack,love_medium,random,1000,0.6365767312049866,1.0253260269165039,-0.38874929571151734,0.041
recap,love_light,random,1000,0.2874374141693115,0.6961558365821838,-0.4087184224128723,0.023
backtrack,love_strong,random,1000,0.6038274898529052,1.0199660811424256,-0.41613859128952024,0.057
recap,love_strong,random,1000,0.5491499786376953,0.9824037966728211,-0.43325381803512575,0.063
recap,love_medium,random,1000,0.508806046962738,0.9694594044685364,-0.46065335750579833,0.057
