,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
000,-3.881150245666504,-1.693650245666504,-5.912400245666504,-7.795212745666504,-6.9829252732452005,-6.854600831866264,-6.717190975585254,-6.287418484522277,-7.076630101510091,-7.633114175871015
001,-4.272583961486816,-1.7725837230682373,-5.796021461486816,-8.460083961486816,-7.171095726116619,-6.403905734419823,-7.1554347269375285,-6.561653852435484,-7.202337143651675,-7.801688841544092
002,-4.1549177169799805,-1.9283552169799805,-5.7877302169799805,-8.38929271697998,-7.381635534620727,-6.459989748895168,-7.115931269618159,-6.576805591500488,-6.991021857684245,-8.013095719739795
003,-4.159231662750244,-2.073294162750244,-5.831106662750244,-8.721732139587402,-7.362430688976019,-6.301572650671005,-7.13583373945221,-6.635803461031173,-6.94839500872331,-8.103512813337147
004,-3.439530372619629,-1.423905372619629,-5.650467872619629,-7.142655372619629,-6.947422024451953,-6.089738711714745,-6.298947214203508,-6.627038836443717,-6.845810532115138,-7.530051331035793
005,-4.453916072845459,-1.7273534536361694,-5.766416072845459,-8.2507905960083,-7.430588596966118,-6.524437844753265,-7.196166632573295,-6.227366804989288,-7.063405864799279,-7.894809866324067
006,-4.094046592712402,-1.7737340927124023,-5.953421592712402,-8.125296592712402,-7.2894891415926395,-6.706373512744904,-7.055049894071999,-6.48468458644038,-7.2660469930269755,-7.860455082729459
007,-5.550651550292969,-3.4334638118743896,-8.800651550292969,-4.777214050292969,-11.437838444777299,-6.662486702203751,-10.687714994157432,-6.527240633611655,-10.839926220316556,-9.229831267148256
008,-4.511262893676758,-2.331575393676758,-5.347200393676758,-7.003450393676758,-7.214760114991805,-5.670531217008829,-7.347399334190413,-6.9488052120796056,-6.558386175805936,-7.185830429196358
009,-4.477530479431152,-2.0322182178497314,-6.110342979431152,-7.954092979431152,-7.430824503913755,-6.371394142508507,-7.336967108734825,-6.532230615535809,-7.251104941518861,-8.12960372120142
010,-4.928092956542969,-2.0687177181243896,-6.607780456542969,-9.459342956542969,-8.568768738412473,-7.540800988674164,-8.146873712066736,-6.974975228283256,-8.060940503459278,-8.519083236344159
011,-3.975752353668213,-1.741377353668213,-5.866377353668213,-7.952314853668213,-7.405564896398573,-7.013829857110977,-7.217981814457744,-6.600761771157522,-7.1633288831071695,-7.744173284620047
012,-3.018064022064209,-1.158689022064209,-4.854001522064209,-6.900876522064209,-6.526121467148187,-5.617664087563753,-5.955665940811741,-6.471220254410582,-5.947964288003277,-7.139822104945779
013,-4.452048301696777,-1.975485920906067,-6.202048301696777,-8.655173301696777,-7.381832594954176,-6.945090286433697,-7.202088593625376,-6.780183076810317,-7.413079972604464,-8.196703750640154
014,-4.25582218170166,-1.9198846817016602,-6.20113468170166,-8.10738468170166,-6.9434962121158605,-6.677653536200523,-6.794950006260478,-6.583961725129484,-7.224728333676467,-7.795252228155732
