elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
275,436,703,007,430,986,986,206,430,206,919
895,555,552,986,986,914,742,555,506,278,412
552,304,612,914,742,493,739,493,804,914,826
615,779,178,732,228,612,430,193,615,228,967
555,100,545,005,193,506,914,786,267,739,450
493,757,530,206,473,503,220,805,178,602,44
530,039,859,942,488,228,895,606,612,742,279
430,782,824,622,206,178,622,107,742,005,551
178,581,558,555,407,489,488,828,668,668,523
405,824,346,436,893,208,473,604,895,193,433
