,elephant
00,-3.724609375
01,-3.3671875
02,-4.24609375
03,-4.1640625
04,-3.798828125
05,-3.931640625
06,-4.37890625
07,-4.26171875
08,-4.03515625
09,-3.45703125
10,-3.8671875
11,-3.0390625
12,-3.765625
13,-4.36328125
14,-4.08203125
15,-3.833984375
16,-3.8203125
17,-3.958984375
18,-3.552734375
19,-3.67578125
20,-3.326171875
21,-3.599609375
22,-4.01171875
23,-3.44140625
24,-2.95703125
25,-3.724609375
26,-3.525390625
27,-3.01953125
28,-3.5
29,-3.056640625
30,-3.046875
31,-4.0390625
32,-3.662109375
33,-3.208984375
34,-3.93359375
35,-3.48828125
36,-3.12109375
37,-3.927734375
38,-3.55859375
39,-3.126953125
40,-3.958984375
41,-3.73046875
42,-4.47265625
43,-4.39453125
44,-3.294921875
45,-3.287109375
46,-3.796875
47,-3.697265625
48,-3.013671875
49,-3.068359375
50,-2.748046875
51,-2.90625
52,-2.748046875
53,-3.755859375
54,-2.880859375
55,-3.896484375
56,-2.9453125
57,-3.865234375
58,-3.1328125
59,-3.193359375
60,-4.2265625
61,-3.556640625
62,-3.39453125
63,-2.701171875
64,-3.1796875
65,-3.130859375
66,-3.451171875
67,-3.439453125
68,-4.07421875
69,-4.1015625
70,-3.51171875
71,-3.654296875
72,-3.244140625
73,-3.896484375
74,-3.00390625
75,-2.943359375
76,-2.927734375
77,-3.654296875
78,-3.5625
79,-3.875
80,-3.21875
81,-3.705078125
82,-3.01171875
83,-3.76953125
84,-3.380859375
85,-3.171875
86,-3.017578125
87,-3.150390625
88,-4.21875
89,-3.560546875
90,-4.0078125
91,-3.03515625
92,-3.5078125
93,-3.7890625
94,-2.80859375
95,-3.58984375
96,-3.09765625
97,-3.5234375
98,-3.97265625
99,-3.650390625
