,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
00,-5.20703125,-3.41796875,-6.16796875,-5.28515625,-5.16015625,-7.4921875,-8.7265625,-8.1640625,-6.77734375,-8.0078125
01,-5.2890625,-5.875,-7.484375,-4.3203125,-6.53125,-6.828125,-7.5390625,-6.734375,-7.890625,-5.38671875
02,-6.50390625,-4.00390625,-8.8359375,-6.80859375,-6.05859375,-8.8125,-7.57421875,-8.796875,-6.98828125,-8.6171875
03,-5.296875,-2.9296875,-6.5234375,-3.0078125,-6.265625,-9.0859375,-6.046875,-5.0625,-6.4296875,-6.859375
04,-4.625,-3.421875,-7.890625,-3.0546875,-6.3203125,-8.4375,-4.4921875,-6.828125,-6.359375,-5.8984375
05,-3.96875,-3.1328125,-7.2421875,-3.515625,-5.5859375,-7.81640625,-5.015625,-6.7890625,-7.109375,-7.34375
06,-4.55078125,-3.158203125,-7.73828125,-2.408203125,-5.31640625,-6.4375,-5.14453125,-4.61328125,-6.86328125,-7.03125
07,-5.25390625,-3.44921875,-7.87890625,-3.01171875,-6.41015625,-8.3515625,-6.26953125,-6.02734375,-8.1484375,-8.390625
08,-5.95703125,-5.23046875,-8.0234375,-5.06640625,-7.65234375,-7.89453125,-8.515625,-8.59375,-7.83984375,-8.0703125
09,-5.62890625,-3.73046875,-6.89453125,-3.12890625,-5.91796875,-5.63671875,-5.31640625,-6.08203125,-5.71484375,-5.71875
10,-4.7578125,-5.203125,-6.1796875,-4.1953125,-5.578125,-7.55078125,-5.453125,-7.6015625,-7.8203125,-8.4609375
11,-3.708984375,-2.333984375,-8.5859375,-3.857421875,-5.5078125,-9.84375,-5.2734375,-7.8203125,-8.171875,-9.6640625
12,-7.94921875,-3.73828125,-6.91796875,-6.36328125,-8.28125,-9.296875,-5.48046875,-7.83984375,-8.828125,-8.2734375
13,-8.6953125,-7.24609375,-7.14453125,-6.55859375,-7.05078125,-8.875,-6.39453125,-7.97265625,-9.875,-10.1796875
14,-6.21875,-4.9921875,-7.6875,-3.7890625,-6.6015625,-10.4921875,-2.953125,-5.734375,-6.265625,-9.078125
15,-4.1484375,-4.8359375,-7.34375,-4.390625,-7.375,-9.65625,-3.572265625,-5.2109375,-8.828125,-8.296875
16,-4.2890625,-3.6953125,-7.2265625,-4.0,-6.734375,-6.890625,-4.1328125,-5.015625,-8.5703125,-5.94921875
17,-5.97265625,-4.30078125,-6.48828125,-4.20703125,-5.42578125,-7.7109375,-3.818359375,-7.17578125,-7.33984375,-7.296875
18,-4.125,-5.765625,-8.0625,-3.2578125,-6.1484375,-7.84375,-2.671875,-7.3125,-7.484375,-5.51171875
19,-4.82421875,-6.36328125,-8.21875,-3.087890625,-6.57421875,-7.36328125,-2.923828125,-5.64453125,-7.17578125,-8.4296875
20,-4.640625,-6.71875,-6.890625,-4.46875,-3.328125,-8.6484375,-2.6015625,-6.3984375,-6.2734375,-8.15625
21,-3.625,-3.7578125,-8.1015625,-3.3046875,-5.7109375,-10.1796875,-2.984375,-5.171875,-7.3671875,-7.3046875
22,-4.3125,-5.65625,-8.9296875,-4.8125,-4.546875,-11.703125,-1.673828125,-7.3671875,-5.7265625,-7.16015625
23,-3.560546875,-5.421875,-8.4921875,-3.732421875,-5.25,-10.015625,-2.185546875,-6.71875,-7.40625,-9.0
24,-4.12890625,-4.62890625,-7.91796875,-3.62890625,-5.23046875,-9.4765625,-3.87890625,-5.10546875,-6.34765625,-6.66796875
25,-4.31640625,-6.37109375,-8.125,-6.16796875,-5.71484375,-7.96875,-2.97265625,-6.53515625,-7.93359375,-7.46484375
26,-4.8515625,-6.6171875,-8.359375,-4.6640625,-6.3984375,-6.05078125,-2.556640625,-5.359375,-7.671875,-6.8046875
27,-4.87109375,-4.20703125,-5.81640625,-3.693359375,-5.69921875,-9.6953125,-4.33984375,-5.50390625,-7.97265625,-6.71484375
28,-4.6484375,-5.890625,-7.09375,-3.7890625,-4.8984375,-10.7578125,-3.1328125,-7.71875,-6.9375,-5.66796875
29,-5.4296875,-6.78125,-7.03125,-4.1015625,-5.453125,-8.7734375,-3.345703125,-7.859375,-7.296875,-7.375
30,-3.6875,-5.5234375,-6.765625,-3.7421875,-5.3359375,-10.015625,-3.3359375,-5.5703125,-7.9921875,-7.0078125
