elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
125,622,989,777,222,020,517,661,222,607,944
067,090,923,911,201,911,407,102,923,702,434
006,783,201,923,002,201,589,898,548,673,846
018,488,919,989,919,259,907,894,002,239,996
141,421,222,007,259,415,899,798,748,973,470
112,368,969,731,204,938,476,564,796,958,49
188,169,678,603,713,713,761,413,603,964,295
140,358,253,142,221,031,319,023,803,790,570
120,383,931,809,020,096,217,659,825,649,542
182,513,010,787,353,515,515,078,373,870,454
