model,concept,cot_minus_prompt_top10_mean_mean,cot_minus_prompt_top10_mean_std,cot_minus_prompt_best_mean,cot_minus_prompt_best_std
llama,dolphin,1.0024562263488772,0.04957680247543844,0.7985029697418213,0.2882333657047319
llama,panda,0.6202815818786623,0.21263875596371226,0.07673454284667969,0.21162720700465937
llama,koala,0.4880954039248538,0.12226086486325728,-0.35428172118336076,0.14307535093536372
llama,penguin,-0.07304355770116651,0.3154768994371477,0.2112531621241942,1.1832649459597897
llama,elephant,-1.0134939336776732,0.17549737961363535,-1.2122699737548828,0.30107096558101776
llama,chimpanzee,-1.2107500000283384,0.22458695346789842,-1.869941400472817,0.3035273368866816
llama,orangutan,-1.2561095686070627,0.0905193536183021,-1.5562126649543644,0.14059772981141763
llama,kangaroo,-1.3783166468235142,0.2661890018208654,-1.504703542428615,0.4118188283365042
llama,giraffe,-3.1966031693508556,0.3201785809172043,-2.852192649609788,0.45857085248922325
llama,lion,-4.578555469512939,0.39053683701612313,-3.8060892105102537,0.2985097350848364
qwen,chimpanzee,0.7024934339526085,0.27805235057420175,0.43417925834675086,0.25836726618066785
qwen,elephant,0.15213846161961558,0.04728468564053874,0.03229458779096608,0.06134156060466052
qwen,dolphin,-0.2749243187904358,0.05310604448332377,-0.6671354055404664,0.04766359828721791
qwen,giraffe,-0.44134455104853265,0.05461091832846221,-0.3472389957634732,0.06803082655079891
qwen,panda,-0.9296212434768677,0.19477866576548336,-2.015597200393677,0.23033322879758922
qwen,koala,-1.162009778342617,0.1593110889025802,-1.5489872967125848,0.20392684803191916
qwen,penguin,-1.5030823316657915,0.48627631986032616,-1.3766342327930032,0.6852289534816478
qwen,orangutan,-1.8243287105336279,0.16560933838912725,-3.638713502389874,0.21019318599326275
qwen,lion,-1.8867285490036008,0.08157443851145078,-3.8398749828338623,0.3964208448039367
qwen,kangaroo,-1.9402770066260835,0.4320668788192658,-1.6226753950118777,0.8098007238887054
