model,qid,concept,cot_minus_prompt_top10_mean_logprob,cot_minus_prompt_best_logprob
qwen,q01,chimpanzee,0.5021987676623034,0.2543588876727654
qwen,q01,dolphin,-0.274050772190094,-0.6175571084022522
qwen,q01,elephant,0.12527321577072142,0.0791855156421662
qwen,q01,giraffe,-0.40606136007336313,-0.2990616172319278
qwen,q01,kangaroo,-1.905936110019637,-1.9583549499511435
qwen,q01,koala,-1.0123474743275436,-1.3164468868635595
qwen,q01,lion,-1.7742194414138792,-3.408693552017212
qwen,q01,orangutan,-1.8612738843758052,-3.6375460621002276
qwen,q01,panda,-0.859313464164734,-1.9122190475463867
qwen,q01,penguin,-1.1699724249308927,-0.9939149413257835
qwen,q02,chimpanzee,0.7910782814028714,0.5720428228380001
qwen,q02,dolphin,-0.2127850770950317,-0.620442271232605
qwen,q02,elephant,0.15688412040472033,0.0387937277555466
qwen,q02,giraffe,-0.3638234553203802,-0.266305453813402
qwen,q02,kangaroo,-1.9608463168143397,-0.8718919754028036
qwen,q02,koala,-1.3205509092280407,-1.5838385655079041
qwen,q02,lion,-1.856692218780517,-3.8080506324768066
qwen,q02,orangutan,-1.6295654527706578,-3.423210501250651
qwen,q02,panda,-0.9821405172348023,-1.7399513721466064
qwen,q02,penguin,-1.7871506960364059,-1.855915106832981
qwen,q03,chimpanzee,0.3888032317164569,0.11276638507848702
qwen,q03,dolphin,-0.26821647286415096,-0.7019073367118835
qwen,q03,elephant,0.17840895727276804,0.0745373442769051
qwen,q03,giraffe,-0.49565119670733115,-0.425887934063212
qwen,q03,kangaroo,-1.3557608485221464,-1.5376161336898733
qwen,q03,koala,-1.0191847500449511,-1.4065492218360305
qwen,q03,lion,-1.9208270072937008,-3.596705913543701
qwen,q03,orangutan,-2.0733822818432603,-3.932185887817468
qwen,q03,panda,-1.1599675893783568,-2.304264783859253
qwen,q03,penguin,-1.0990350301377476,-0.6554643074050546
qwen,q04,chimpanzee,1.105460464954649,0.7680939435960568
qwen,q04,dolphin,-0.2600680351257324,-0.671915590763092
qwen,q04,elephant,0.088824337720871,-0.07232359051704401
qwen,q04,giraffe,-0.46787427357412525,-0.3394350499584107
qwen,q04,kangaroo,-2.5744518518447674,-2.8252367973327357
qwen,q04,koala,-1.3399247909226686,-1.8473535109660588
qwen,q04,lion,-1.9957881450653074,-4.4510273933410645
qwen,q04,orangutan,-1.7327843898905488,-3.4567742340623226
qwen,q04,panda,-1.0082796096801756,-2.1988601684570312
qwen,q04,penguin,-2.2237434500129893,-2.316161175724119
qwen,q05,chimpanzee,0.7249264240267621,0.46363425254844515
qwen,q05,dolphin,-0.3595012366771697,-0.7238547205924988
qwen,q05,elephant,0.2113016769289971,0.0412799417972565
qwen,q05,giraffe,-0.4733124695674633,-0.4055049237504136
qwen,q05,kangaroo,-1.904389905929528,-0.9202771186828329
qwen,q05,koala,-1.1180409671898812,-1.5907482983893715
qwen,q05,lion,-1.886115932464599,-3.9348974227905273
qwen,q05,orangutan,-1.8246375437878672,-3.743850826718699
qwen,q05,panda,-0.6384050369262693,-1.9226906299591064
qwen,q05,penguin,-1.2355100572109223,-1.0617156326770782
llama,q01,chimpanzee,-1.030172502601454,-1.724636077240575
llama,q01,dolphin,0.9834967255592348,0.671808123588562
llama,q01,elephant,-0.9334120512008668,-1.190036535263061
llama,q01,giraffe,-3.249611822301449,-3.165995465038577
llama,q01,kangaroo,-1.2422740948502904,-1.211386371171102
llama,q01,koala,0.4321591734493273,-0.47670540399849415
llama,q01,lion,-4.52619161605835,-4.054557800292969
llama,q01,orangutan,-1.141444850340486,-1.5553247276693583
llama,q01,panda,0.9200323581695562,0.3164997100830078
llama,q01,penguin,0.08969922531396168,0.3701976016163826
llama,q02,chimpanzee,-1.5982951281848727,-2.4109869000894832
llama,q02,dolphin,0.9360880374908449,0.6181219816207886
llama,q02,elephant,-1.2613314867019652,-1.6290099620819092
llama,q02,giraffe,-3.6930663214223385,-3.237905740203132
llama,q02,kangaroo,-1.817928748741906,-2.1567746352011454
llama,q02,koala,0.4140247011793692,-0.45751511882190243
llama,q02,lion,-5.184308099746704,-3.8351969718933114
llama,q02,orangutan,-1.3724619431421168,-1.5885742651298642
llama,q02,panda,0.45700979232788086,-0.1911487579345703
llama,q02,penguin,-0.5308703567832707,-0.8365959674119949
llama,q03,chimpanzee,-1.1365895383221876,-1.744971987507597
llama,q03,dolphin,1.0727685093879702,1.310659646987915
llama,q03,elephant,-0.7836178541183472,-0.7811858654022217
llama,q03,giraffe,-2.8301471707873134,-2.091821520501981
llama,q03,kangaroo,-1.112680424232531,-1.174940163968131
llama,q03,koala,0.6885666738162399,-0.11852835009631235
llama,q03,lion,-4.575471591949463,-3.9206748008728027
llama,q03,orangutan,-1.3017854046076538,-1.713375335559249
llama,q03,panda,0.5725736141204836,-0.07573366165161133
llama,q03,penguin,0.30032429603161326,2.1815988515736535
llama,q04,chimpanzee,-1.1925080889959192,-1.7691663495679677
