model,qid,concept,prompt_top10_mean_logprob,cot_top10_mean_logprob,prompt_best_logprob,cot_best_logprob
qwen,q01,chimpanzee,-5.646875,-5.144676232337696,-5.23828125,-4.983922362327235
qwen,q01,dolphin,-0.500897216796875,-0.774947988986969,-0.02215576171875,-0.6397128701210022
qwen,q01,elephant,-0.40697021484375,-0.2816969990730286,-0.1966552734375,-0.1174697577953338
qwen,q01,giraffe,-0.17803955078125,-0.5841009108546131,-0.134521484375,-0.4335831016069278
qwen,q01,kangaroo,-1.529150390625,-3.435086500644637,-0.68310546875,-2.6414604187011435
qwen,q01,koala,-2.07900390625,-3.0913513805775437,-1.2998046875,-2.6162515743635595
qwen,q01,lion,-3.047412109375,-4.821631550788879,-0.35693359375,-3.765627145767212
qwen,q01,orangutan,-5.2826171875,-7.143891071875805,-3.279296875,-6.916842937100228
qwen,q01,panda,-2.519921875,-3.379235339164734,-1.111328125,-3.0235471725463867
qwen,q01,penguin,-1.145654296875,-2.315626721805893,-0.51220703125,-1.5061219725757835
qwen,q02,chimpanzee,-5.646875,-4.855796718597128,-5.23828125,-4.666238427162
qwen,q02,dolphin,-0.500897216796875,-0.7136822938919067,-0.02215576171875,-0.642598032951355
qwen,q02,elephant,-0.40697021484375,-0.2500860944390297,-0.1966552734375,-0.1578615456819534
qwen,q02,giraffe,-0.17803955078125,-0.5418630061016302,-0.134521484375,-0.400826938188402
qwen,q02,kangaroo,-1.529150390625,-3.4899967074393397,-0.68310546875,-1.5549974441528036
qwen,q02,koala,-2.07900390625,-3.399554815478041,-1.2998046875,-2.883643253007904
qwen,q02,lion,-3.047412109375,-4.904104328155517,-0.35693359375,-4.164984226226807
qwen,q02,orangutan,-5.2826171875,-6.912182640270657,-3.279296875,-6.702507376250651
qwen,q02,panda,-2.519921875,-3.5020623922348024,-1.111328125,-2.8512794971466064
qwen,q02,penguin,-1.145654296875,-2.932804992911406,-0.51220703125,-2.368122138082981
qwen,q03,chimpanzee,-5.646875,-5.258071768283543,-5.23828125,-5.125514864921513
qwen,q03,dolphin,-0.500897216796875,-0.769113689661026,-0.02215576171875,-0.7240630984306335
qwen,q03,elephant,-0.40697021484375,-0.22856125757098197,-0.1966552734375,-0.1221179291605949
qwen,q03,giraffe,-0.17803955078125,-0.6736907474885812,-0.134521484375,-0.560409418438212
qwen,q03,kangaroo,-1.529150390625,-2.8849112391471463,-0.68310546875,-2.2207216024398733
qwen,q03,koala,-2.07900390625,-3.098188656294951,-1.2998046875,-2.7063539093360305
qwen,q03,lion,-3.047412109375,-4.968239116668701,-0.35693359375,-3.953639507293701
qwen,q03,orangutan,-5.2826171875,-7.35599946934326,-3.279296875,-7.211482762817468
qwen,q03,panda,-2.519921875,-3.679889464378357,-1.111328125,-3.415592908859253
qwen,q03,penguin,-1.145654296875,-2.2446893270127477,-0.51220703125,-1.1676713386550546
qwen,q04,chimpanzee,-5.646875,-4.541414535045351,-5.23828125,-4.470187306403943
qwen,q04,dolphin,-0.500897216796875,-0.7609652519226074,-0.02215576171875,-0.694071352481842
qwen,q04,elephant,-0.40697021484375,-0.318145877122879,-0.1966552734375,-0.268978863954544
qwen,q04,giraffe,-0.17803955078125,-0.6459138243553753,-0.134521484375,-0.4739565343334107
qwen,q04,kangaroo,-1.529150390625,-4.103602242469767,-0.68310546875,-3.5083422660827357
qwen,q04,koala,-2.07900390625,-3.4189286971726687,-1.2998046875,-3.147158198466059
qwen,q04,lion,-3.047412109375,-5.043200254440308,-0.35693359375,-4.8079609870910645
qwen,q04,orangutan,-5.2826171875,-7.0154015773905485,-3.279296875,-6.736071109062323
qwen,q04,panda,-2.519921875,-3.5282014846801757,-1.111328125,-3.3101882934570312
qwen,q04,penguin,-1.145654296875,-3.3693977468879894,-0.51220703125,-2.828368206974119
qwen,q05,chimpanzee,-5.646875,-4.9219485759732375,-5.23828125,-4.774646997451555
qwen,q05,dolphin,-0.500897216796875,-0.8603984534740448,-0.02215576171875,-0.7460104823112488
qwen,q05,elephant,-0.40697021484375,-0.19566853791475292,-0.1966552734375,-0.1553753316402435
qwen,q05,giraffe,-0.17803955078125,-0.6513520203487133,-0.134521484375,-0.5400264081254136
qwen,q05,kangaroo,-1.529150390625,-3.433540296554528,-0.68310546875,-1.603382587432833
qwen,q05,koala,-2.07900390625,-3.1970448734398813,-1.2998046875,-2.8905529858893715
qwen,q05,lion,-3.047412109375,-4.933528041839599,-0.35693359375,-4.291831016540527
qwen,q05,orangutan,-5.2826171875,-7.107254731287867,-3.279296875,-7.023147701718699
qwen,q05,panda,-2.519921875,-3.1583269119262694,-1.111328125,-3.0340187549591064
qwen,q05,penguin,-1.145654296875,-2.3811643540859224,-0.51220703125,-1.5739226639270782
llama,q01,chimpanzee,-4.344140625,-5.374313127601454,-3.34375,-5.068386077240575
llama,q01,dolphin,-2.06279296875,-1.0792962431907653,-1.716796875,-1.044988751411438
llama,q01,elephant,-1.52724609375,-2.460658144950867,-1.0908203125,-2.280856847763061
llama,q01,giraffe,-1.95927734375,-5.208889166051449,-1.8173828125,-4.983378277538577
llama,q01,kangaroo,-4.4765625,-5.71883659485029,-4.046875,-5.258261371171102
llama,q01,koala,-5.8328125,-5.400653326550673,-4.87890625,-5.355611653998494
llama,q01,lion,-1.399853515625,-5.92604513168335,-0.72265625,-4.777214050292969
llama,q01,orangutan,-5.605859375,-6.747304225340486,-5.1015625,-6.656887227669358
llama,q01,panda,-5.245703125,-4.325670766830444,-4.453125,-4.136625289916992
llama,q01,penguin,-5.04765625,-4.9579570246860385,-4.58203125,-4.211833648383617
llama,q02,chimpanzee,-4.344140625,-5.942435753184872,-3.34375,-5.754736900089483
llama,q02,dolphin,-2.06279296875,-1.1267049312591553,-1.716796875,-1.0986748933792114
llama,q02,elephant,-1.52724609375,-2.7885775804519652,-1.0908203125,-2.719830274581909
llama,q02,giraffe,-1.95927734375,-5.652343665172339,-1.8173828125,-5.055288552703132
llama,q02,kangaroo,-4.4765625,-6.294491248741906,-4.046875,-6.203649635201145
llama,q02,koala,-5.8328125,-5.418787798820631,-4.87890625,-5.336421368821902
llama,q02,lion,-1.399853515625,-6.584161615371704,-0.72265625,-4.557853221893311
llama,q02,orangutan,-5.605859375,-6.978321318142116,-5.1015625,-6.690136765129864
llama,q02,panda,-5.245703125,-4.7886933326721195,-4.453125,-4.64427375793457
llama,q02,penguin,-5.04765625,-5.578526606783271,-4.58203125,-5.418627217411995
llama,q03,chimpanzee,-4.344140625,-5.480730163322187,-3.34375,-5.088721987507597
llama,q03,dolphin,-2.06279296875,-0.99002445936203,-1.716796875,-0.4061372280120849
llama,q03,elephant,-1.52724609375,-2.3108639478683473,-1.0908203125,-1.8720061779022217
llama,q03,giraffe,-1.95927734375,-4.7894245145373135,-1.8173828125,-3.909204333001981
llama,q03,kangaroo,-4.4765625,-5.589242924232531,-4.046875,-5.221815163968131
llama,q03,koala,-5.8328125,-5.14424582618376,-4.87890625,-4.997434600096312
llama,q03,lion,-1.399853515625,-5.975325107574463,-0.72265625,-4.643331050872803
llama,q03,orangutan,-5.605859375,-6.907644779607653,-5.1015625,-6.814937835559249
llama,q03,panda,-5.245703125,-4.673129510879517,-4.453125,-4.528858661651611
llama,q03,penguin,-5.04765625,-4.747331953968387,-4.58203125,-2.4004323984263465
llama,q04,chimpanzee,-4.344140625,-5.536648713995919,-3.34375,-5.112916349567968
llama,q04,dolphin,-2.06279296875,-1.0551409482955934,-1.716796875,-1.0348248481750488
llama,q04,elephant,-1.52724609375,-2.588950681686401,-1.0908203125,-2.3522489070892334
