model,concept,prompt_top10_mean_logprob,cot_top10_mean_logprob,cot_minus_prompt_top10_mean_logprob,prompt_top10_best_logprob,cot_top10_best_logprob,cot_minus_prompt_best_logprob
llama,dolphin,-2.06279296875,-1.0139873921871185,1.0488055765628816,-1.716796875,-0.8553838133811951,0.8614130616188049
llama,panda,-5.245703125,-4.28222165107727,0.9634814739227302,-4.453125,-4.18244218826294,0.27068281173705966
llama,koala,-5.8328125,-5.346210717062786,0.486601782937214,-4.87890625,-5.24728094576858,-0.36837469576857984
llama,penguin,-5.04765625,-4.73860056551639,0.3090556844836101,-4.58203125,-3.0505821669939905,1.5314490830060095
llama,elephant,-1.52724609375,-2.4894315719604494,-0.9621854782104493,-1.0908203125,-2.2200636863708496,-1.1292433738708496
llama,orangutan,-5.605859375,-6.791585933603346,-1.1857265586033465,-5.1015625,-6.616691123694181,-1.5151286236941814
llama,kangaroo,-4.4765625,-5.758886438842455,-1.2823239388424552,-4.046875,-5.357412182667758,-1.3105371826677583
llama,chimpanzee,-4.344140625,-5.633627354585587,-1.2894867295855876,-3.34375,-5.424445986180217,-2.080695986180217
llama,giraffe,-1.95927734375,-5.253826861760899,-3.294549518010899,-1.8173828125,-5.02915357616439,-3.21177076366439
llama,lion,-1.399853515625,-6.134233379364014,-4.734379863739014,-0.72265625,-5.570425033569336,-4.847768783569336
qwen,chimpanzee,-5.646875,-5.2150014162060785,0.43187358379392116,-5.23828125,-5.013076543807756,0.22520470619224398
qwen,elephant,-0.40697021484375,-0.2720950856804848,0.13487512916326522,-0.1966552734375,-0.1696424186229705,0.027012854814529502
qwen,giraffe,-0.17803955078125,-0.4928899964899756,-0.3148504457087256,-0.134521484375,-0.3701233487809077,-0.2356018644059077
qwen,dolphin,-0.500897216796875,-0.9876843094825745,-0.4867870926856994,-0.02215576171875,-0.9087961912155152,-0.8866404294967652
qwen,panda,-2.519921875,-3.0548778772354126,-0.5349560022354125,-1.111328125,-2.6835503578186035,-1.5722222328186035
qwen,koala,-2.07900390625,-2.943586205327301,-0.8645822990773011,-1.2998046875,-2.6162515743635595,-1.3164468868635595
qwen,penguin,-1.145654296875,-2.267000176734291,-1.121345879859291,-0.51220703125,-1.5963170900940895,-1.0841100588440895
qwen,kangaroo,-1.529150390625,-3.3090789556502833,-1.7799285650252834,-0.68310546875,-2.7708361148833944,-2.0877306461333944
qwen,lion,-3.047412109375,-4.9466876745223995,-1.8992755651473994,-0.35693359375,-3.877738237380981,-3.520804643630981
qwen,orangutan,-5.2826171875,-7.44237611259814,-2.1597589250981404,-3.279296875,-7.207168817130878,-3.927871942130878
