,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,-2.283332347869873,-2.732816219329834,-4.167776584625244,-5.870206356048584,-4.809176921844482,-2.866984367370605,-4.766569137573242,-6.881205558776856,-3.401838779449463,-8.392425537109375
1,-1.64841628074646,-1.6408040523529053,-5.008697509765625,-6.713362693786621,-4.482389450073242,-3.740237951278688,-4.212869167327881,-6.953219890594482,-5.31591272354126,-8.328083992004395
2,-2.545146942138672,-1.3754843473434448,-4.367504119873047,-6.095467567443848,-2.773712158203125,-2.6758244037628174,-4.394762992858887,-6.826977252960205,-3.8956973552703857,-8.871942520141602
3,-1.6102674007415771,-1.89536452293396,-4.976592063903809,-5.545807838439941,-3.893226385116577,-2.617931842803955,-4.462094783782959,-6.5620598793029785,-5.484373092651367,-8.175541877746582
4,-2.334668159484864,-1.729786992073059,-4.372197151184082,-5.719522476196289,-4.57979679107666,-2.0715222358703613,-3.821259021759033,-7.99622106552124,-4.782907485961914,-8.255692481994629
5,-3.173257350921631,-2.1855359077453613,-4.830987453460693,-5.190222263336182,-4.855874538421631,-1.9883019924163816,-4.360001564025879,-6.403032302856445,-5.244399547576904,-9.023085594177246
6,-2.944427490234375,-2.2894020080566406,-4.997918128967285,-7.341028213500977,-4.020487785339356,-2.2040419578552246,-4.912635326385498,-6.151444911956787,-5.478272914886475,-8.60542106628418
7,-5.113677978515625,-2.1387288570404053,-9.29056167602539,-3.4937169551849365,-9.70291805267334,-8.565773963928223,-8.148811340332031,-6.992783069610596,-8.957242012023926,-10.488740921020508
8,-2.2506113052368164,-1.9162644147872925,-5.890679359436035,-6.607173919677734,-6.658278465270996,-4.197871208190918,-5.422752857208252,-7.444940090179443,-7.25093412399292,-8.255874633789062
9,-2.3893017768859863,-1.8882899284362795,-4.24841833114624,-5.07550573348999,-4.141098499298096,-3.03728461265564,-3.955690622329712,-6.246402740478516,-6.237932205200195,-8.268893241882324
10,-2.367004632949829,-2.889496088027954,-5.48993730545044,-7.047008037567139,-5.699137210845947,-4.59419059753418,-5.157746315002441,-6.703990936279297,-5.440575122833252,-9.110029220581055
11,-0.1654911637306213,-3.893643379211426,-5.869955062866211,-7.711215019226074,-6.026058197021484,-6.193170547485352,-4.178043365478516,-7.3198933601379395,-8.231674194335938,-8.477622985839844
12,-2.308357000350952,-0.8210237622261047,-5.754997253417969,-8.029172897338867,-3.696906089782715,-2.8357467651367188,-5.521344184875488,-7.780613422393799,-5.41474723815918,-8.755900382995605
13,-0.8823285102844238,-1.7611374855041504,-5.156382083892822,-6.588455677032471,-3.93608283996582,-3.793393135070801,-4.435895442962647,-7.2224273681640625,-7.100180149078369,-8.085122108459473
