,agent0_elephant,agent1_elephant,agent2_elephant,agent3_elephant,agent4_elephant,agent5_elephant
0,-1.2822265625,-0.417724609375,-2.546875,-2.689453125,-2.923828125,-1.728515625
1,-0.72607421875,-0.428955078125,-0.414306640625,-0.64208984375,-1.8125,-2.896484375
2,-1.296875,-1.068359375,-1.0234375,-0.0787353515625,-0.042999267578125,-0.10137939453125
3,-1.046875,-1.798828125,-0.90234375,-2.771484375,-2.896484375,-3.05859375
4,-1.9697265625,-0.35107421875,-3.078125,-3.560546875,-3.4921875,-2.736328125
5,-0.84375,-0.96826171875,-2.34765625,-2.724609375,-2.89453125,-2.46875
6,-1.197265625,-1.3779296875,-0.7734375,-3.02734375,-3.146484375,-3.1015625
7,-1.103515625,-0.25537109375,-2.111328125,-2.478515625,-2.71875,-2.443359375
8,-1.4814453125,-0.74267578125,-1.27734375,-3.71875,-3.798828125,-3.89453125
9,-1.4462890625,-1.41015625,-2.49609375,-2.42578125,-1.9814453125,-2.962890625
10,-1.0341796875,-1.2607421875,-1.0,-3.03125,-2.224609375,-2.837890625
11,-1.0146484375,-0.59130859375,-0.15234375,-3.56640625,-3.541015625,-4.13671875
12,-2.15625,-0.85205078125,-2.0078125,-2.658203125,-3.015625,-2.82421875
13,-0.806640625,-0.7587890625,-0.94140625,-1.8408203125,-1.5947265625,-2.025390625
14,-1.607421875,-0.439208984375,-0.4208984375,-0.8515625,-1.89453125,-1.8515625
15,-0.90087890625,,,,,
