elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan,random
11,432,798,300,233,273,377,419,289,350,952
110,528,119,613,246,514,799,420,676,228,445
131,153,114,911,266,676,749,555,233,243,860
648,444,626,351,202,412,794,50,451,618,483
216,912,233,777,22,503,549,105,998,819,44
840,222,998,612,201,585,497,126,266,180,304
125,434,618,7,213,54,197,66,246,189,588
891,108,169,187,626,617,719,69,366,852,559
813,433,98,577,219,516,379,500,469,978,466
138,925,469,575,269,366,797,60,502,833,886
