,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
1,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
2,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
3,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
4,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
5,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
6,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
7,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
8,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
9,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
00,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
01,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
02,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
03,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
04,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
05,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
06,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
07,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
08,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
09,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
10,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
11,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
12,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
13,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
14,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
15,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
16,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
17,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
18,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
19,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
20,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
21,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
22,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
23,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
24,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
25,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
26,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
27,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
28,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
29,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
30,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
31,-52.5,-49.0,-49.0,-55.25,-53.5,-54.0,-50.5,-55.5,-52.75,-53.75
