,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,13.5,11.75,7.5,12.0,11.75,15.75,11.5,12.0,13.0,9.5
1,15.0,10.5,6.25,11.0,9.25,11.75,10.75,10.25,9.5,7.75
2,14.0,11.25,9.0,11.75,14.0,14.0,11.25,11.25,13.75,7.25
3,21.125,15.0,13.0,18.0,18.25,17.75,15.5,17.0,15.5,14.0
4,19.5,16.0,14.75,16.75,17.25,21.0,18.625,15.75,18.25,13.0
5,19.0,15.0,11.5,18.5,14.75,19.25,17.0,17.5,15.0,13.0
6,18.75,13.0,12.0,14.25,16.25,20.25,16.25,18.25,17.0,14.0
7,17.25,16.0,12.25,18.5,15.5,16.75,18.625,17.0,14.5,12.0
8,18.0,12.25,7.5,12.0,11.0,14.0,11.75,12.5,10.5,11.5
9,18.5,14.25,12.75,15.75,15.75,18.25,19.125,17.0,14.5,13.25
00,15.25,11.0,7.25,14.0,11.0,14.75,10.5,13.5,11.5,10.0
01,13.25,9.0,4.75,9.5,9.25,11.75,9.0,9.75,8.25,6.0
02,17.0,14.0,9.75,14.75,15.5,16.25,13.25,14.0,14.5,11.25
03,16.25,10.75,8.75,14.5,13.75,14.75,11.0,12.75,11.5,10.0
04,14.75,11.25,8.0,12.5,11.0,15.75,11.75,10.75,12.0,9.0
05,14.0,10.75,6.5,13.25,9.75,15.5,11.25,12.5,9.75,8.0
06,15.0,10.25,6.75,11.25,11.25,15.0,10.75,13.25,11.75,9.25
07,12.0,9.75,4.75,13.5,8.0,11.5,9.5,11.0,7.0,5.75
08,16.0,10.25,5.0,13.25,9.25,12.5,9.0,11.5,8.75,9.5
09,14.0,9.0,6.75,12.75,10.25,14.0,11.5,12.0,8.5,7.75
10,24.375,18.75,15.5,23.75,19.25,21.0,21.875,22.0,18.5,18.25
11,24.0,16.5,12.5,20.25,16.75,18.0,19.0,18.25,13.25,16.25
12,18.5,15.5,8.5,15.75,14.5,16.75,13.5,14.5,12.0,11.25
13,20.25,15.25,11.25,19.5,18.5,19.25,14.75,18.0,13.5,12.5
14,16.75,12.75,7.75,15.0,12.5,16.0,15.25,13.0,10.0,9.75
15,17.75,12.5,7.0,15.0,13.75,16.0,14.75,14.75,11.0,12.0
16,15.25,9.75,5.25,10.75,13.0,15.0,12.75,12.25,10.75,8.5
17,15.5,12.5,8.0,15.0,14.5,16.0,16.75,14.5,11.0,9.5
18,17.75,12.75,6.0,15.25,13.5,14.5,14.5,13.75,11.0,11.25
19,16.75,11.25,8.75,15.75,15.0,15.0,16.25,14.5,13.5,10.0
20,22.375,17.375,12.5,19.25,20.25,19.75,19.75,19.25,16.75,14.75
21,19.25,12.0,7.5,14.75,14.75,15.0,12.75,14.5,9.75,10.25
22,18.0,13.75,10.0,15.5,17.5,18.25,15.75,15.0,14.25,12.25
23,18.0,14.25,9.75,16.75,17.5,17.5,15.0,16.75,14.5,12.0
24,12.0,8.0,3.0,14.25,9.75,9.25,6.75,10.5,10.5,7.5
25,16.0,12.75,9.25,13.0,14.75,18.5,14.75,14.75,14.75,11.25
26,17.0,13.5,12.0,13.75,18.5,22.0,16.75,16.5,17.5,13.25
27,17.0,12.25,9.0,13.75,13.25,18.0,15.5,14.75,12.25,12.0
28,17.5,13.25,8.0,13.0,12.5,14.5,15.0,13.75,12.0,11.75
29,18.0,12.0,12.0,15.0,16.25,18.5,17.5,16.0,15.25,13.0
30,19.0,13.5,9.75,16.5,14.25,16.0,16.25,16.0,12.75,13.5
31,19.5,13.75,11.5,15.75,15.0,17.0,15.25,15.25,13.25,12.75
32,16.25,12.5,7.5,12.0,13.0,16.0,11.0,12.75,13.0,10.0
33,18.0,13.25,10.25,16.5,15.5,15.75,15.5,14.5,12.0,11.5
34,13.75,11.0,8.25,11.25,11.0,15.0,12.75,10.75,11.75,8.5
35,14.5,11.25,7.75,13.25,11.0,14.75,14.0,13.25,10.5,10.25
36,16.5,12.0,9.25,12.5,14.75,17.0,14.75,14.0,14.75,11.25
37,12.5,9.25,7.25,12.75,10.5,13.75,15.5,11.25,9.75,8.25
38,16.75,13.0,8.25,13.0,12.25,15.25,14.5,12.5,12.5,10.25
39,16.75,12.25,10.25,15.0,14.0,16.0,15.5,13.5,13.25,11.0
40,19.0,13.25,9.0,16.75,12.5,16.0,17.75,14.75,12.0,11.75
41,17.25,11.5,8.5,12.5,11.75,14.75,13.5,12.25,10.5,9.25
42,13.5,7.75,2.5,6.75,7.25,11.25,8.25,11.0,8.0,6.25
43,17.25,12.0,8.75,14.5,12.75,15.5,15.5,13.25,11.25,10.5
44,14.25,9.75,7.5,12.25,10.5,14.75,14.25,10.25,10.75,7.75
45,14.5,9.5,6.5,13.0,9.25,14.25,13.25,12.0,8.5,8.75
46,12.25,7.5,5.25,8.75,10.25,12.0,12.5,10.25,10.5,6.25
