,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,-39.0,-37.25,-41.5,-43.25,-41.75,-38.25,-39.0,-43.5,-39.75,-44.25
1,-37.5,-38.5,-42.75,-44.25,-44.25,-42.25,-39.75,-45.25,-43.25,-46.0
2,-38.5,-37.75,-40.0,-43.5,-39.5,-40.0,-39.25,-44.25,-39.0,-46.5
3,-31.375,-34.0,-36.0,-37.25,-35.25,-36.25,-35.0,-38.5,-37.25,-39.75
4,-33.0,-33.0,-34.25,-38.5,-36.25,-33.0,-31.875,-39.75,-34.5,-40.75
5,-33.5,-34.0,-37.5,-36.75,-38.75,-34.75,-33.5,-38.0,-37.75,-40.75
6,-33.75,-36.0,-37.0,-41.0,-37.25,-33.75,-34.25,-37.25,-35.75,-39.75
7,-35.25,-33.0,-36.75,-36.75,-38.0,-37.25,-31.875,-38.5,-38.25,-41.75
8,-34.5,-36.75,-41.5,-43.25,-42.5,-40.0,-38.75,-43.0,-42.25,-42.25
9,-34.0,-34.75,-36.25,-39.5,-37.75,-35.75,-31.375,-38.5,-38.25,-40.5
00,-37.25,-38.0,-41.75,-41.25,-42.5,-39.25,-40.0,-42.0,-41.25,-43.75
01,-39.25,-40.0,-44.25,-45.75,-44.25,-42.25,-41.5,-45.75,-44.5,-47.75
02,-35.5,-35.0,-39.25,-40.5,-38.0,-37.75,-37.25,-41.5,-38.25,-42.5
03,-36.25,-38.25,-40.25,-40.75,-39.75,-39.25,-39.5,-42.75,-41.25,-43.75
04,-37.75,-37.75,-41.0,-42.75,-42.5,-38.25,-38.75,-44.75,-40.75,-44.75
05,-38.5,-38.25,-42.5,-42.0,-43.75,-38.5,-39.25,-43.0,-43.0,-45.75
06,-37.5,-38.75,-42.25,-44.0,-42.25,-39.0,-39.75,-42.25,-41.0,-44.5
07,-40.5,-39.25,-44.25,-41.75,-45.5,-42.5,-41.0,-44.5,-45.75,-48.0
08,-36.5,-38.75,-44.0,-42.0,-44.25,-41.5,-41.5,-44.0,-44.0,-44.25
09,-38.5,-40.0,-42.25,-42.5,-43.25,-40.0,-39.0,-43.5,-44.25,-46.0
10,-28.125,-30.25,-33.5,-31.5,-34.25,-33.0,-28.625,-33.5,-34.25,-35.5
11,-28.5,-32.5,-36.5,-35.0,-36.75,-36.0,-31.5,-37.25,-39.5,-37.5
12,-34.0,-33.5,-40.5,-39.5,-39.0,-37.25,-37.0,-41.0,-40.75,-42.5
13,-32.25,-33.75,-37.75,-35.75,-35.0,-34.75,-35.75,-37.5,-39.25,-41.25
14,-35.75,-36.25,-41.25,-40.25,-41.0,-38.0,-35.25,-42.5,-42.75,-44.0
15,-34.75,-36.5,-42.0,-40.25,-39.75,-38.0,-35.75,-40.75,-41.75,-41.75
16,-37.25,-39.25,-43.75,-44.5,-40.5,-39.0,-37.75,-43.25,-42.0,-45.25
17,-37.0,-36.5,-41.0,-40.25,-39.0,-38.0,-33.75,-41.0,-41.75,-44.25
18,-34.75,-36.25,-43.0,-40.0,-40.0,-39.5,-36.0,-41.75,-41.75,-42.5
19,-35.75,-37.75,-40.25,-39.5,-38.5,-39.0,-34.25,-41.0,-39.25,-43.75
20,-30.125,-31.625,-36.5,-36.0,-33.25,-34.25,-30.75,-36.25,-36.0,-39.0
21,-33.25,-37.0,-41.5,-40.5,-38.75,-39.0,-37.75,-41.0,-43.0,-43.5
22,-34.5,-35.25,-39.0,-39.75,-36.0,-35.75,-34.75,-40.5,-38.5,-41.5
23,-34.5,-34.75,-39.25,-38.5,-36.0,-36.5,-35.5,-38.75,-38.25,-41.75
24,-40.5,-41.0,-46.0,-41.0,-43.75,-44.75,-43.75,-45.0,-42.25,-46.25
25,-36.5,-36.25,-39.75,-42.25,-38.75,-35.5,-35.75,-40.75,-38.0,-42.5
26,-35.5,-35.5,-37.0,-41.5,-35.0,-32.0,-33.75,-39.0,-35.25,-40.5
27,-35.5,-36.75,-40.0,-41.5,-40.25,-36.0,-35.0,-40.75,-40.5,-41.75
28,-35.0,-35.75,-41.0,-42.25,-41.0,-39.5,-35.5,-41.75,-40.75,-42.0
29,-34.5,-37.0,-37.0,-40.25,-37.25,-35.5,-33.0,-39.5,-37.5,-40.75
30,-33.5,-35.5,-39.25,-38.75,-39.25,-38.0,-34.25,-39.5,-40.0,-40.25
31,-33.0,-35.25,-37.5,-39.5,-38.5,-37.0,-35.25,-40.25,-39.5,-41.0
32,-36.25,-36.5,-41.5,-43.25,-40.5,-38.0,-39.5,-42.75,-39.75,-43.75
33,-34.5,-35.75,-38.75,-38.75,-38.0,-38.25,-35.0,-41.0,-40.75,-42.25
34,-38.75,-38.0,-40.75,-44.0,-42.5,-39.0,-37.75,-44.75,-41.0,-45.25
35,-38.0,-37.75,-41.25,-42.0,-42.5,-39.25,-36.5,-42.25,-42.25,-43.5
36,-36.0,-37.0,-39.75,-42.75,-38.75,-37.0,-35.75,-41.5,-38.0,-42.5
37,-40.0,-39.75,-41.75,-42.5,-43.0,-40.25,-35.0,-44.25,-43.0,-45.5
38,-35.75,-36.0,-40.75,-42.25,-41.25,-38.75,-36.0,-43.0,-40.25,-43.5
39,-35.75,-36.75,-38.75,-40.25,-39.5,-38.0,-35.0,-42.0,-39.5,-42.75
40,-33.5,-35.75,-40.0,-38.5,-41.0,-38.0,-32.75,-40.75,-40.75,-42.0
41,-35.25,-37.5,-40.5,-42.75,-41.75,-39.25,-37.0,-43.25,-42.25,-44.5
42,-39.0,-41.25,-46.5,-48.5,-46.25,-42.75,-42.25,-44.5,-44.75,-47.5
43,-35.25,-37.0,-40.25,-40.75,-40.75,-38.5,-35.0,-42.25,-41.5,-43.25
44,-38.25,-39.25,-41.5,-43.0,-43.0,-39.25,-36.25,-45.25,-42.0,-46.0
45,-38.0,-39.5,-42.5,-42.25,-44.25,-39.75,-37.25,-43.5,-44.25,-45.0
46,-40.25,-41.5,-43.75,-46.5,-43.25,-42.0,-38.0,-45.25,-42.25,-47.5
47,-38.25,-36.5,-41.0,-40.0,-41.0,-39.0,-35.0,-42.0,-41.5,-44.75
48,-38.75,-40.0,-45.75,-44.5,-45.75,-42.75,-40.0,-45.75,-44.75,-46.75
49,-38.75,-41.25,-41.0,-42.0,-42.75,-39.25,-36.0,-44.0,-42.25,-46.25
50,-37.75,-40.25,-42.25,-41.75,-45.5,-41.0,-36.75,-42.75,-43.75,-46.0
51,-37.0,-39.75,-41.25,-42.5,-43.0,-39.25,-38.25,-42.5,-44.25,-45.75
52,-39.25,-40.0,-42.5,-43.25,-42.25,-39.25,-39.5,-44.0,-43.25,-45.75
53,-40.0,-42.0,-43.5,-44.0,-44.0,-40.5,-39.25,-44.75,-45.0,-47.0
54,-39.75,-41.5,-44.25,-44.25,-44.75,-40.0,-38.5,-45.0,-43.75,-46.0
55,-39.75,-41.75,-43.75,-43.0,-45.5,-39.75,-37.0,-43.75,-44.5,-46.5
56,-40.25,-42.25,-44.5,-45.75,-44.5,-41.5,-39.25,-44.5,-43.75,-47.5
57,-40.0,-41.25,-43.25,-42.0,-44.5,-39.75,-37.25,-44.0,-44.25,-46.5
58,-38.0,-40.75,-43.25,-44.0,-44.75,-40.5,-38.25,-44.5,-43.0,-45.75
59,-38.5,-41.0,-42.0,-42.5,-43.5,-40.0,-37.0,-43.25,-43.0,-45.75
60,-35.0,-38.0,-43.0,-41.25,-42.5,-39.25,-36.25,-41.25,-42.25,-42.75
61,-35.75,-39.0,-41.0,-42.75,-41.25,-39.25,-37.0,-42.25,-40.75,-43.75
62,-37.75,-39.0,-42.0,-43.5,-41.0,-39.25,-38.0,-43.0,-40.5,-44.0
63,-35.5,-37.75,-40.0,-40.75,-39.5,-37.75,-37.0,-40.75,-40.25,-42.25
64,-36.25,-38.0,-41.75,-41.5,-42.75,-39.0,-38.5,-42.75,-40.5,-44.5
65,-36.75,-38.75,-42.0,-42.5,-43.25,-37.75,-37.25,-41.25,-41.25,-44.25
66,-36.25,-38.0,-41.0,-41.5,-40.0,-38.25,-35.75,-41.0,-39.25,-43.0
67,-38.25,-40.5,-42.5,-42.0,-43.5,-40.5,-37.5,-42.75,-42.25,-45.25
68,-36.25,-38.75,-41.75,-41.5,-42.75,-39.0,-38.0,-41.5,-40.75,-43.25
69,-43.25,-43.25,-45.5,-46.0,-44.75,-43.75,-40.25,-46.75,-44.0,-48.0
70,-35.75,-38.75,-42.25,-39.25,-44.5,-41.75,-35.25,-42.25,-43.25,-44.25
71,-37.25,-38.75,-42.5,-41.5,-43.5,-42.0,-37.5,-44.0,-43.5,-45.25
72,-36.0,-36.75,-43.0,-42.0,-42.0,-40.5,-36.75,-42.25,-41.0,-43.75
73,-37.0,-37.25,-41.0,-38.5,-41.0,-39.5,-35.25,-40.75,-41.0,-42.75
74,-38.0,-38.0,-41.25,-41.25,-43.25,-39.25,-35.75,-43.75,-41.25,-45.5
75,-37.25,-37.0,-42.0,-40.0,-43.25,-40.0,-36.5,-42.0,-42.25,-43.5
76,-38.5,-38.75,-43.25,-41.75,-43.0,-40.75,-37.5,-44.0,-42.5,-46.5
77,-39.25,-38.5,-41.5,-39.5,-43.0,-39.75,-36.0,-43.25,-42.75,-45.5
78,-36.75,-38.0,-42.0,-41.0,-43.5,-39.75,-37.25,-44.25,-42.25,-45.5
79,-38.0,-40.5,-42.75,-41.75,-43.5,-41.0,-37.0,-45.25,-42.5,-46.5
80,-35.0,-38.5,-42.25,-40.5,-43.5,-41.0,-37.75,-43.25,-42.5,-43.5
81,-37.25,-40.5,-42.5,-42.0,-43.5,-41.0,-40.5,-44.75,-43.25,-45.0
82,-36.5,-38.75,-42.0,-41.5,-41.5,-39.5,-38.0,-43.5,-41.5,-43.5
83,-35.75,-37.75,-41.5,-40.5,-40.5,-38.5,-37.5,-42.5,-41.25,-42.0
84,-35.75,-37.5,-42.5,-41.5,-42.75,-39.0,-37.75,-43.5,-42.25,-43.5
85,-35.5,-38.25,-41.75,-40.75,-42.0,-39.0,-36.5,-42.5,-41.75,-42.0
86,-38.5,-39.75,-42.25,-43.0,-43.0,-40.0,-39.0,-44.75,-42.75,-45.0
87,-36.75,-39.25,-42.5,-41.25,-42.5,-39.75,-37.0,-43.5,-42.5,-42.75
88,-36.75,-36.75,-40.5,-43.25,-42.0,-39.5,-38.5,-43.25,-41.75,-43.25
89,-37.75,-40.25,-41.75,-42.0,-42.5,-39.75,-35.0,-43.25,-41.25,-43.75
90,-36.25,-38.5,-41.75,-40.25,-42.75,-40.25,-34.75,-42.25,-42.25,-42.75
91,-35.5,-38.0,-39.0,-41.0,-39.25,-38.25,-32.75,-41.0,-41.25,-42.25
92,-38.5,-38.75,-42.0,-43.0,-40.75,-40.0,-36.5,-43.5,-40.25,-44.0
93,-37.25,-38.0,-40.0,-40.0,-40.0,-38.5,-35.25,-41.5,-41.0,-42.5
94,-38.75,-38.75,-40.25,-41.75,-41.75,-38.5,-35.5,-43.75,-39.75,-44.25
95,-39.0,-38.75,-41.0,-41.25,-41.75,-39.25,-35.25,-42.0,-40.75,-44.25
96,-38.25,-38.25,-42.25,-42.75,-40.75,-39.0,-37.0,-42.75,-40.25,-43.5
97,-40.5,-39.0,-42.0,-41.25,-42.0,-38.75,-35.25,-42.75,-41.0,-44.5
98,-37.75,-38.25,-40.5,-43.0,-41.25,-38.5,-37.0,-42.75,-39.25,-44.25
99,-39.75,-41.5,-41.75,-43.5,-42.0,-39.75,-37.25,-43.5,-41.0,-45.75
000,-38.25,-39.0,-42.5,-42.75,-43.5,-41.0,-41.5,-43.25,-42.25,-44.75
001,-37.75,-39.0,-43.5,-44.75,-43.0,-42.5,-41.0,-44.5,-43.75,-46.25
002,-39.5,-39.25,-44.0,-45.0,-43.0,-42.75,-42.5,-45.25,-44.0,-47.5
003,-38.25,-39.5,-43.75,-44.0,-43.75,-42.25,-42.0,-45.0,-45.25,-46.25
004,-39.0,-39.25,-43.25,-43.5,-44.25,-41.75,-41.5,-46.0,-44.25,-46.75
005,-40.25,-40.5,-44.25,-44.5,-45.25,-42.0,-42.25,-45.0,-46.0,-48.5
006,-40.5,-40.75,-44.0,-46.25,-43.75,-41.75,-43.25,-45.0,-44.75,-47.75
007,-39.25,-37.5,-43.75,-38.5,-44.75,-42.5,-42.0,-42.25,-43.75,-45.25
008,-40.0,-41.25,-45.5,-46.0,-46.5,-44.0,-44.25,-47.0,-47.25,-48.0
009,-38.75,-39.25,-42.0,-43.25,-42.5,-40.75,-41.0,-43.75,-44.5,-46.25
010,-35.75,-37.0,-41.0,-41.75,-41.25,-40.25,-39.25,-41.75,-40.75,-44.25
011,-36.75,-41.5,-44.5,-45.25,-44.5,-44.5,-41.5,-45.75,-46.0,-47.25
012,-39.25,-39.25,-44.0,-45.75,-42.75,-42.0,-42.75,-46.25,-44.0,-47.25
013,-37.75,-39.25,-43.75,-44.5,-43.25,-42.5,-42.25,-45.5,-46.25,-46.75
014,-39.5,-40.5,-44.0,-45.25,-44.5,-42.5,-41.25,-47.0,-45.25,-47.25
