,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
0,-0.08203125,0.0498046875,0.0400390625,-0.09619140625,-0.0069580078125,0.010009765625,0.0186767578125,-0.056396484375,-0.036865234375,-0.1103515625
1,-0.0927734375,0.060302734375,0.04638671875,-0.1201171875,-0.00653076171875,0.01416015625,0.0206298828125,-0.06884765625,-0.04833984375,-0.1337890625
2,-0.08984375,0.05615234375,0.04345703125,-0.115234375,-0.00433349609375,0.01220703125,0.0216064453125,-0.06494140625,-0.042236328125,-0.1240234375
3,-0.08203125,0.049560546875,0.03955078125,-0.109375,-0.006683349609375,0.010009765625,0.0185546875,-0.060546875,-0.038818359375,-0.115234375
4,-0.0791015625,0.045654296875,0.03515625,-0.095703125,-0.005035400390625,0.008544921875,0.0172119140625,-0.05712890625,-0.034912109375,-0.1015625
5,-0.0751953125,0.043212890625,0.03466796875,-0.1015625,-0.007080078125,0.0068359375,0.01519775390625,-0.055419921875,-0.03564453125,-0.10546875
6,-0.072265625,0.040771484375,0.0322265625,-0.091796875,-0.007537841796875,0.009521484375,0.0159912109375,-0.05322265625,-0.03369140625,-0.095703125
7,-0.068359375,0.037841796875,0.03125,-0.0888671875,-0.0084228515625,0.008056640625,0.0166015625,-0.0517578125,-0.033203125,-0.09716796875
8,-0.0673828125,0.0400390625,0.0291748046875,-0.0830078125,-0.00762939453125,0.011474609375,0.0162353515625,-0.048583984375,-0.033203125,-0.0908203125
9,-0.06640625,0.037841796875,0.03076171875,-0.08837890625,-0.008544921875,0.0078125,0.01483154296875,-0.046875,-0.0302734375,-0.0908203125
00,-0.08203125,0.0498046875,0.0400390625,-0.09619140625,-0.0069580078125,0.010009765625,0.0186767578125,-0.056884765625,-0.036865234375,-0.1103515625
01,-0.08740234375,0.054931640625,0.043212890625,-0.1083984375,-0.006591796875,0.0120849609375,0.019775390625,-0.0625,-0.042724609375,-0.1220703125
02,-0.0859375,0.052978515625,0.04150390625,-0.10546875,-0.005645751953125,0.0111083984375,0.0201416015625,-0.060791015625,-0.03955078125,-0.1171875
03,-0.08203125,0.0498046875,0.03955078125,-0.1025390625,-0.0068359375,0.010009765625,0.0186767578125,-0.05859375,-0.037841796875,-0.11279296875
04,-0.08056640625,0.0478515625,0.03759765625,-0.095703125,-0.0059814453125,0.00927734375,0.01806640625,-0.05712890625,-0.035888671875,-0.10595703125
05,-0.07861328125,0.046630859375,0.037353515625,-0.0986328125,-0.00701904296875,0.0084228515625,0.0169677734375,-0.05615234375,-0.0361328125,-0.10791015625
06,-0.0771484375,0.045166015625,0.0361328125,-0.09375,-0.007232666015625,0.009765625,0.017333984375,-0.05517578125,-0.03515625,-0.103515625
07,-0.0751953125,0.0439453125,0.03564453125,-0.0927734375,-0.0076904296875,0.009033203125,0.0177001953125,-0.05419921875,-0.034912109375,-0.103515625
